rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list
m/1004047-children_of_the_corn,Children of the Corn,Collin Souter,False,Rotten,Rotten,2002,It just gets sillier and sillier with each passing year.,male,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,Children of the Corn,Scott Weinberg,False,Rotten,Fresh,2002,"Not a whole lot happens, but horror fans will appreciate the atmosphere.",male,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,Children of the Corn,James Sanford,False,Rotten,Rotten,2002,"""plenty of corn, for sure, but no chills""",male,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,Children of the Corn,KJB,False,Rotten,Fresh,2002,Ooooooo... scary kids! Don't go into the cornfields alone after this one.,unknown,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,Children of the Corn,Brian Mckay,False,Rotten,Fresh,2003,"The only halfway decent installment of the entire bloated, pitiful franchise.",male,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,Children of the Corn,Ken Hanke,False,Rotten,Fresh,2003,"Grisly, occasionally effective horror flick.",male,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,Children of the Corn,Gregory Weinkauf,False,Rotten,Fresh,2004,"If you need a laugh, come to Malachi!",male,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,Children of the Corn,Anton Bitel,False,Rotten,Rotten,2004,"As ye sow, so shall ye reap - and for all its initial creepiness, in the end this Mid-western gothic yields a big cropful of corn.",male,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,Children of the Corn,Stefan Birgir Stefansson,False,Rotten,Rotten,2008,incredibly boring from start to finish,male,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,Children of the Corn,Felix Gonzalez Jr.,False,Rotten,Rotten,2009,How Children of the Corn continues to be so successful and popular 25 years after its release still remains a mystery ....,male,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,Children of the Corn,Peter Canavese,False,Rotten,Rotten,2009,"It's a--look, it has to be said--corny ""B"" horror flick with a certain je ne sais WTF about it. [Blu-ray]",male,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,Children of the Corn,Jason Morgan,False,Rotten,Fresh,2009,its dated look reminds us that horror movies were once made with only a camera and buckets of Karo syrup; not marketable teen models and computer-generated effects.,male,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,Children of the Corn,Charles Cassady,False,Rotten,Fresh,2010,"Classic Stephen King horror, hardly popping.",male,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,Children of the Corn,Rob Vaux,False,Rotten,Rotten,2014,"Send it to the cornfield, Anthony. That's where it belongs, after all.",male,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
