rotten_tomatoes_link,review_content,movie_title,genre_list
m/1000334-adventures_of_mark_twain,There's more than enough weird and wise material to keep you entertained -- especially if you're an animation buff or a Samuel Clemens aficionado.,The Adventures of Mark Twain,"['Action & Adventure', 'Animation', 'Kids & Family']"
m/1000334-adventures_of_mark_twain,Dry humor and scary scenes abound in Twain overview.,The Adventures of Mark Twain,"['Action & Adventure', 'Animation', 'Kids & Family']"
m/1000334-adventures_of_mark_twain,"Everything looks soft, squashy and sort of ugly.",The Adventures of Mark Twain,"['Action & Adventure', 'Animation', 'Kids & Family']"
m/1000334-adventures_of_mark_twain,This is an imaginative work.,The Adventures of Mark Twain,"['Action & Adventure', 'Animation', 'Kids & Family']"
m/1000334-adventures_of_mark_twain,Such a wonderfully entertaining and rather charming film.,The Adventures of Mark Twain,"['Action & Adventure', 'Animation', 'Kids & Family']"
m/10004659-arthur,Luc Besson's Arthur and the Invisibles clears the smog left behind by the year's dubious family entertainments.,Arthur and the Invisibles (Arthur and the Minimoys),"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,The bucolic wonder buried in Luc Besson's Arthur and the Invisibles has been snuffed out by this alienating and dislikable animated film. As overproduced and acrid as The Messenger: The Story of Joan of Arc and The Fifth Element.,Arthur and the Invisibles (Arthur and the Minimoys),"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Besson drags things out considerably for his young audience at 122 minutes. The CG work is clever but cannot measure up to Pixar's standards in cleverness or imagination. Nothing is fresh here.,Arthur and the Invisibles (Arthur and the Minimoys),"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,"[Actor Freddie] Highmore is sweetly exuberant, but the voice talent is uneven, and the only really clever bits find the CGI characters navigating real live foliage.",Arthur and the Invisibles (Arthur and the Minimoys),"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur's frequent returns to reality break the mood and seem to serve little narrative purpose besides beefing up Farrow's role.,Arthur and the Invisibles (Arthur and the Minimoys),"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
