rotten_tomatoes_link,review_content,movie_title,genre_list
m/10006849-once_in_a_lifetime,"Such a heady combination of greed, girls and goals, all set to a pulsating funk background, should provide even a hardened football refusenik with 90 minutes (+ stoppage time) of entertainment.",Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"['Documentary', 'Sports & Fitness']"
m/10006849-once_in_a_lifetime,A lively 1970s tone that neatly captures soccer's brief North American heyday.,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"['Documentary', 'Sports & Fitness']"
m/10006849-once_in_a_lifetime,Full of drama and fascinating anecdotes.,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"['Documentary', 'Sports & Fitness']"
m/10006849-once_in_a_lifetime,An engrossing account of American soccer's strangest episode -- and you don't even have to like footie to enjoy it.,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"['Documentary', 'Sports & Fitness']"
m/10006849-once_in_a_lifetime,"A good yarn well spun, a story so fascinating that you'll be hooked until the very end.",Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"['Documentary', 'Sports & Fitness']"
m/10006849-once_in_a_lifetime,The film is an uncanny reflection of soccer itself: intermittently engaging but generally a dramatically inert bore.,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"['Documentary', 'Sports & Fitness']"
m/10006849-once_in_a_lifetime,"An entertaining documentary that won't change the world, but should leave you spellbound for 90 minutes.",Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"['Documentary', 'Sports & Fitness']"
m/10006849-once_in_a_lifetime,"A fun and rowdy take on the New York Cosmos, who almost succeeded in bringing soccer into the American mainstream during the late 1970s.",Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"['Documentary', 'Sports & Fitness']"
m/10006849-once_in_a_lifetime,This intermittently fascinating documentary chronicles the rise and fall of the Cosmos--which is also the rise and fall of U.S. soccer.,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"['Documentary', 'Sports & Fitness']"
m/10006849-once_in_a_lifetime,"...a stylish scramble of evocative footage, groovy music, and crazy-candid reminiscences from key players still proud to score.",Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"['Documentary', 'Sports & Fitness']"
m/10006849-once_in_a_lifetime,"The perfect mix of style and substance, visuals, music and words ... one of the best sports documentaries ever made.",Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"['Documentary', 'Sports & Fitness']"
m/10006849-once_in_a_lifetime,"An enlightening look back at how ""the world's sport"" briefly took off in the US.",Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"['Documentary', 'Sports & Fitness']"
m/10006849-once_in_a_lifetime,"Told in a breezy, fast-cut style, and backed by a boisterous soundtrack that ranges from Puccini to James Brown, Lifetime focuses on the players -- on the field and off -- that made the Cosmos such a super, if short-lived, team.",Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"['Documentary', 'Sports & Fitness']"
