rotten_tomatoes_link,review_content,movie_title,genre_list
m/10002114-dark_water,"...while Dark Water isn't a complete wash (no pun intended), watched side-by-side with Ringu, it ultimately comes off as a pale successor.",Dark Water,"['Art House & International', 'Horror', 'Mystery & Suspense']"
m/10002114-dark_water,The picture is melancholy remembrance and its sources of fear are intimate and brilliant.,Dark Water,"['Art House & International', 'Horror', 'Mystery & Suspense']"
m/10002114-dark_water,"A horror movie that sits there and drags and seems very full of itself, and is based on the premise that puddles are scary. They're not.",Dark Water,"['Art House & International', 'Horror', 'Mystery & Suspense']"
m/10002114-dark_water,"just beneath its surface horror this film conceals a deep reservoir of tragedy, addressing themes like family breakdown, isolation, abandonment, and - something of a taboo in Japan - the terrible legacy of mental illness.",Dark Water,"['Art House & International', 'Horror', 'Mystery & Suspense']"
m/10002114-dark_water,"With extremely heavy echoes of his own 1998 film Ringu, Nakata is on subtle creep-out form here rather than big horror movie mode.",Dark Water,"['Art House & International', 'Horror', 'Mystery & Suspense']"
m/10002114-dark_water,"To date, the scariest movie I've ever seen.",Dark Water,"['Art House & International', 'Horror', 'Mystery & Suspense']"
m/10002114-dark_water,"Um terror bem construdo que no quer apenas provocar sustos passageiros, mas sim estabelecer um clima de tenso constante e personagens com os quais realmente nos importemos.",Dark Water,"['Art House & International', 'Horror', 'Mystery & Suspense']"
m/10002114-dark_water,So much of Dark Water is contrived that it defies the mind to try to make sense of it.,Dark Water,"['Art House & International', 'Horror', 'Mystery & Suspense']"
m/10002114-dark_water,"He [Nakata] wants us to absorb, to feel a location, and to understand the plight of the characters before he goes any further.",Dark Water,"['Art House & International', 'Horror', 'Mystery & Suspense']"
m/10002114-dark_water,"Benefits from having an undercurrent of sadness, which makes it feel quite similar to the ghost stories in Kwaidan.",Dark Water,"['Art House & International', 'Horror', 'Mystery & Suspense']"
m/10002114-dark_water,About as frightening as a soggy diaper.,Dark Water,"['Art House & International', 'Horror', 'Mystery & Suspense']"
m/10002114-dark_water,"It's flawed, but you should see Dark Water, a decent little chiller that brings a whole new meaning to rising damp.",Dark Water,"['Art House & International', 'Horror', 'Mystery & Suspense']"
m/10002114-dark_water,Its cleverness relies on transferring our concern from the supernatural events emanating from one lost child to the natural fear of a mother losing her own child to the other world.,Dark Water,"['Art House & International', 'Horror', 'Mystery & Suspense']"
m/10003925-dead_end,Like a Twilight Zone episode stretched out into a feature ... without adding much subtext.,Dead End,"['Comedy', 'Horror', 'Mystery & Suspense']"
m/10003925-dead_end,"Apesar dos personagens caricaturais (principalmente o adolescente irritante), cria boa dose de suspense e conta com um final intrigante.",Dead End,"['Comedy', 'Horror', 'Mystery & Suspense']"
m/10003925-dead_end,"There's great promise in Dead End, and a script that is often clever, combined with a carload of decent actors, really helps cover a multitude of flaws.",Dead End,"['Comedy', 'Horror', 'Mystery & Suspense']"
m/10003925-dead_end,A small film like Dead End sneaks in and manages to floor pretty much everyone that's seen it.,Dead End,"['Comedy', 'Horror', 'Mystery & Suspense']"
m/10003925-dead_end,There's just nothing here to like at all.,Dead End,"['Comedy', 'Horror', 'Mystery & Suspense']"
m/10004504-ultraviolet,"Ultraviolet will be studied with great interest in the future - not for its quality or its artistic merit, but rather to discover how a turd like this was made.",Ultraviolet,"['Action & Adventure', 'Drama', 'Horror', 'Science Fiction & Fantasy']"
m/10004504-ultraviolet,"The violence is presented in such a childish fashion, that it has all the impact of a Pokemon battle.",Ultraviolet,"['Action & Adventure', 'Drama', 'Horror', 'Science Fiction & Fantasy']"
m/10004504-ultraviolet,The special effects simply thrust Ultraviolet in an Xbox 360 for action set-pieces that are kinetic and colorful but surprisingly unexciting. Do we really care if she dies when she's just going to be regenerated anyway?,Ultraviolet,"['Action & Adventure', 'Drama', 'Horror', 'Science Fiction & Fantasy']"
m/10004504-ultraviolet,"Ultraviolet wants desperately to be a provocative, high-concept action thriller. It is apparently trying to say something about fear and terrorism, paranoia and racism. But it looks more like a shampoo commercial.",Ultraviolet,"['Action & Adventure', 'Drama', 'Horror', 'Science Fiction & Fantasy']"
m/10004504-ultraviolet,"The tale, beginning with narrated flashbacks that make it curiously seem like a sequel, essentially is an excuse for a seemingly endless series of ultraviolet, uh, ultraviolent, action scenes.",Ultraviolet,"['Action & Adventure', 'Drama', 'Horror', 'Science Fiction & Fantasy']"
m/10004504-ultraviolet,"Wimmer has created no logical framework for flashy, ultraviolent and frankly cheesy sequences.",Ultraviolet,"['Action & Adventure', 'Drama', 'Horror', 'Science Fiction & Fantasy']"
m/10004504-ultraviolet,"Wimmer is so brazen that he doesn't even bother to pretend that there's an original concept here: all his ideas are borrowed from other movies that borrowed from other movies that borrowed from The Matrix, and he doesn't care who knows it.",Ultraviolet,"['Action & Adventure', 'Drama', 'Horror', 'Science Fiction & Fantasy']"
m/10004504-ultraviolet,"Kurt Wimmer's film epitomizes just about everything wrong with post-Matrix, comic book-/video-game-inspired, Hong Kong-action-style sci-fi thrillers.",Ultraviolet,"['Action & Adventure', 'Drama', 'Horror', 'Science Fiction & Fantasy']"
