rotten_tomatoes_link,review_content,movie_title,genre_list
m/10006780-lost_horizon,"Just dull and forgettable, not the so-bad-it's-good camp classic some people insist.",Lost Horizon,"['Action & Adventure', 'Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy']"
m/10006780-lost_horizon,"The material is so slight it can hardly bear the weight of music, and it sinks altogether during a series of the most incompetent and clumsy dance numbers I've ever seen.",Lost Horizon,"['Action & Adventure', 'Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy']"
m/10006780-lost_horizon,"The conjunction of truth and lies hardly seems accidental in a film that sets out to recall a kind of filmmaking now lost, but succeeds only in denting pleasant memories.",Lost Horizon,"['Action & Adventure', 'Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy']"
m/10006780-lost_horizon,"At the moment the characters descend into the valley of Shangri-La, the film, in unconscious critical mimicry, goes downhill",Lost Horizon,"['Action & Adventure', 'Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy']"
m/10006780-lost_horizon,The musical aspects are the most disastrous because the cast is a first-rate one in straight performance.,Lost Horizon,"['Action & Adventure', 'Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy']"
m/10008423-cool_school,"...a fun, jazzy look at L.A.'s first real wave of modern artists",The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,Morgan Neville's quick-paced documentary The Cool School recounts the rise and fall of Ferus Gallery and the mark it made on American art.,The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,A lively film that doesn't linger too long on any one thought or with any one interviewee.,The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,"It is a fascinating journey through a piece of art history, the full impact of which may be yet to come.",The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,"What The Cool School does so well, through its color accents and black-and-white photography...is impart a sense of discovery.",The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,"No one emerges very well defined from this historical shuffle, but those who know the artists' works, or names such as Hopps and Blum, but have never heard them speak, will find The Cool School absorbing and informative.",The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,"All told, and well told, this is essential history.",The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,"Largely avoids sharply delineated portraits, with its focus on the scene at the expense of individuals, ultimately resulting in a documentary that doesn't rise above the functional.",The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,"Though designed more for the devotee of the arts than your average moviegoer, the film is still apt to enthrall even the uninitiated who wouldn't know a Jackson Pollock from a Willem de Kooning.",The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,"Documentarian Morgan Neville takes an appropriately lively, left-field approach to The Cool School's eye-opening history of the Beat-era Left Coast art scene -- a lesser-known chapter in the story of American modern art.",The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,Surf's up in Southern California as the modern art world invades Nixonville and Reagan City in the 1950s. A fascinating look at the start of something big: modern art in Los Angeles.,The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,Thoughtful and thought-provoking.,The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,Diverting.,The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,"The Cool School, a breezy, lively documentary about a thin slice of the Los Angeles fine art scene in the 1950s, is easy on the eyes, and the ears too.",The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,Cool School is a must for anyone interested in 20th century American art.,The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,"Definitely proves that, contrary to certain opinions, Los Angeles is not a cultural wasteland where fine art is concerned.",The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,Sweeps you off your feet with quick-witted visuals and cleverly used archival footage.,The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,Makes the case that there's more than basket weaving and freeway driving going on in the seedbed of originality we know as the Great Basin of L.A.,The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,Breezy doc lives up to its title.,The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,Veteran documentarist Morgan Neville's illustrated history of the painters and sculptors associated with Venice's Ferus Gallery (1957-1967) is at once lively and analytical.,The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,"The Cool School is neither as lively nor as complete as it could be, but as an introduction to modern art, it's a fine freshman course.",The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,The Cool School is a history of the LA art scene which will be most interesting for those who are involved in it.,The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,"Occasionally too reverent, this remains an effective evocation of a vibrant and interesting art scene, not to mention a touching paean to lost youth.",The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,Morgan Neville's 'The Cool School' is a slickly packaged document of the burgeoning modern art scene in LA during the late '50s and early '60s which sadly submerges its fascinating subject matter in technical clutter and contrived set-ups.,The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008423-cool_school,"Neville's film shows, in effect, how deliberate the founding of an art movement can be. But also how thrilling it is for those at the eye of the storm.",The Cool School,"['Documentary', 'Musical & Performing Arts']"
m/10008698-king_corn,This is as much a thoughtful meditation on the plight of the American farmer as it is a rant against our expanding waistlines.,King Corn,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
m/10008698-king_corn,A deceptively intelligent new entry in the regular-Joe documentary genre.,King Corn,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
m/10008698-king_corn,"An entertaining look at the flagship of American empty calories, King Corn is a few bushels short of being the next Super-Size Me, but brings a legitimate message.",King Corn,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
m/10008698-king_corn,"Well, it's certainly one of the less blatantly compelling subjects on the non-fiction circuit, and the doc has a lower-octane approach than most, but King Corn is surprisingly absorbing and amusing viewing.",King Corn,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
m/10008698-king_corn,"Sometimes obvious, but at other times quite startling.",King Corn,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
