rotten_tomatoes_link,review_content,movie_title,genre_list
m/1187621-itty_bitty_titty_committee,"Great title, shame about the movie.",Itty Bitty Titty Committee,"['Comedy', 'Gay & Lesbian']"
m/1187621-itty_bitty_titty_committee,"While the film is engaging, it feels unwilling to really push its themes into provocative territory.",Itty Bitty Titty Committee,"['Comedy', 'Gay & Lesbian']"
m/1187621-itty_bitty_titty_committee,"Writer-director Jamie Babbit's follow-up to But I'm a Cheerleader, while flawed and in need of at least one more script overhaul, is smarter, funnier and more accomplished than its predecessor.",Itty Bitty Titty Committee,"['Comedy', 'Gay & Lesbian']"
m/1187621-itty_bitty_titty_committee,The film's sense of humor is juvenile...,Itty Bitty Titty Committee,"['Comedy', 'Gay & Lesbian']"
m/1187621-itty_bitty_titty_committee,The characters are not complex or memorable enough to linger in the mind much past the closing credits.,Itty Bitty Titty Committee,"['Comedy', 'Gay & Lesbian']"
m/1187621-itty_bitty_titty_committee,"trades in platitudes and cliches, for lack of anything distinctive or bold to say",Itty Bitty Titty Committee,"['Comedy', 'Gay & Lesbian']"
m/1187621-itty_bitty_titty_committee,"After 75 minutes of carefully establishing the characters and situations, the film comes up with the single most preposterous ending I've ever witnessed in a motion picture, undermining everything that's come before.",Itty Bitty Titty Committee,"['Comedy', 'Gay & Lesbian']"
m/1213734-ghosted,"Feels like an overwritten fringe festival play, performed outdoors, with a single camera recording it for posterity.",Ghosted,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/1213734-ghosted,"While longtime Treut admirers may miss the gender politics, explicit sex and lesbian SM content of her best known films, the romantic and lush Ghosted offers First Run a good shot at a wider specialty audience.",Ghosted,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/1213734-ghosted,A clumsily supernatural mystery that strangely uses the fallible density of flesh as its most underscored symbol.,Ghosted,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/1213734-ghosted,A blandly romantic drama with just the whiff of the otherworldly about it.,Ghosted,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/1213734-ghosted,"Monika Treut (Female Misbehavior) has made a fruitful career out of documenting nonfiction gender studies and LGBT anthropology, but her attempt at exploring such issues in a narrative context is clunky to a fault.",Ghosted,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/1213734-ghosted,Lesbian and supernatural themes combined to less-than-stellar effect.,Ghosted,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/1213734-ghosted,"Flat visuals, flat script, flat performances: Ghosted is only mildly redeemed by the on-the-ground travelogue footage of Taipei and Hamburg, and I'm being generous.",Ghosted,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/1213734-ghosted,"Clumsily written, mostly in English, with performances to match, the only real mystery surrounding Ghosted is how this soporific bore got made.",Ghosted,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
