rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/20000_days_on_earth,"20,000 Days on Earth",Ray Pride,False,Certified-Fresh,Fresh,2014,"It sounds like so much attenuated tosh, but this bold, unique gem is bright, funny, brooding, hopeful, momentarily visionary, a wounded beauty exploring the creative process in a fresh and oft-brilliant fashion.",mostly_male,"['Documentary', 'Musical & Performing Arts', 'Special Interest']","{'neg': 0.0, 'neu': 0.359, 'pos': 0.641, 'compound': 0.9888}",0.9888
m/across_the_universe,Across the Universe,Matthew Turner,False,Rotten,Fresh,2007,"Julie Taymor's love-it-or-hate-it musical is hugely ambitious but it works brilliantly, thanks to strong performances, a fantastic script, terrifically integrated songs and Taymor's inspired direction.",male,"['Musical & Performing Arts', 'Romance']","{'neg': 0.0, 'neu': 0.372, 'pos': 0.628, 'compound': 0.9845}",0.9845
m/begin_again_2013,Begin Again,Linda Cook,False,Certified-Fresh,Fresh,2014,"People who love music, people who love great films, and people who love both, are sure to love 'Begin Again,' an exquisite film by John Carney, who wrought the equally superb 'Once.'",female,"['Comedy', 'Drama', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.478, 'pos': 0.522, 'compound': 0.9823}",0.9823
m/1194524-high_school_musical_3_senior_year,High School Musical 3: Senior Year,Carolyn Arends,False,Fresh,Fresh,2008,"Sure, the franchise is corny, but it ultimately celebrates talent, enthusiasm, loyalty and love. And you can dance to it.",female,['Musical & Performing Arts'],"{'neg': 0.0, 'neu': 0.361, 'pos': 0.639, 'compound': 0.9794}",0.9794
m/begin_again_2013,Begin Again,Alissa Wilkinson,False,Certified-Fresh,Fresh,2016,"Begin Again is the best sort of summer movie, with great performances and a solid core. It's clearly a work that comes from love shared by people who enjoyed making it, and that makes it fun for us to watch out in the audience, too.",female,"['Comedy', 'Drama', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.576, 'pos': 0.424, 'compound': 0.9771}",0.9771
m/beauty_and_the_beast_1991,Beauty and the Beast,Diva Velez,False,Certified-Fresh,Fresh,2012,"One of the brightest jewels in Disney's crown, Beauty and the Beast's 3D reissue takes nothing away and makes the film's brilliance even easier to appreciate; the movie is more beautiful and timeless than it ever was.",female,"['Animation', 'Drama', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.9761}",0.9761
m/bandslam,Bandslam,Stephen Whitty,True,Certified-Fresh,Fresh,2009,"Bandslam is hardly the definition of a great movie, but it is pleasant and bright and doesn't insult its audience's intelligence. And that's as rare and welcome as a well-crafted three-minute pop song.",male,"['Comedy', 'Drama', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.9737}",0.9737
m/amazing_grace_2018,Amazing Grace,Frank Ochieng,False,Certified-Fresh,Fresh,2018,"[A] soulfully dynamic documentary. Amazing Grace is a resonating reminder of what a legendary entertainer Aretha Franklin was in conviction and consciousness. Purely uplifting in its astounding skin, Amazing Grace does Aretha Franklin's legacy proud.",male,"['Documentary', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.507, 'pos': 0.493, 'compound': 0.9729}",0.9729
m/bride_and_prejudice,Bride and Prejudice,Victoria Alexander,False,Fresh,Fresh,2005,"Joyous fun with a strong, positive Indian sensibility. A beautiful cast certainly helps.",female,"['Comedy', 'Musical & Performing Arts', 'Romance']","{'neg': 0.0, 'neu': 0.147, 'pos': 0.853, 'compound': 0.9726}",0.9726
m/beauty_and_the_beast_2017,Beauty and the Beast,Kirk Baird,False,Fresh,Fresh,2017,"The songs are still lovely. The story still timeless. And when Beauty and the Beast is good, it's joyful and fun. But even in its best moments, this remake only reminds you of why you fell in love with Disney's animated take on this tale to begin with.",male,"['Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.9718}",0.9718
