rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/20000_days_on_earth,"20,000 Days on Earth",Ray Pride,False,Certified-Fresh,Fresh,2014,"It sounds like so much attenuated tosh, but this bold, unique gem is bright, funny, brooding, hopeful, momentarily visionary, a wounded beauty exploring the creative process in a fresh and oft-brilliant fashion.",mostly_male,"['Documentary', 'Musical & Performing Arts', 'Special Interest']","{'neg': 0.0, 'neu': 0.359, 'pos': 0.641, 'compound': 0.9888}",0.9888
m/birth_of_the_living_dead,Birth Of The Living Dead,Chuck Bowen,False,Fresh,Fresh,2013,"The film is unavoidably slight, but there's a certain pleasure in watching talented people wax passionate about a common source of inspiration.",male,"['Documentary', 'Special Interest']","{'neg': 0.0, 'neu': 0.413, 'pos': 0.587, 'compound': 0.9731}",0.9731
m/1190970-ghost_town,Ghost Town,Claudia Puig,True,Certified-Fresh,Fresh,2008,"Sure, it's a light comedy, but it effectively achieves what it sets out to do: amuse us and tug on our heartstrings. And best of all, it's written, directed and acted with intelligence and wit.",female,"['Comedy', 'Documentary', 'Science Fiction & Fantasy', 'Special Interest']","{'neg': 0.0, 'neu': 0.574, 'pos': 0.426, 'compound': 0.9672}",0.9672
m/batman_assault_on_arkham,Batman: Assault on Arkham,Jeffrey Lyles,False,Fresh,Fresh,2014,DC Entertainment thrills with one of its boldest and mature films yet while finally figuring out the secret to telling engaging and fun adventures of DC Comic characters beyond Batman and the Justice League.,male,"['Action & Adventure', 'Animation', 'Kids & Family', 'Science Fiction & Fantasy', 'Special Interest']","{'neg': 0.0, 'neu': 0.539, 'pos': 0.461, 'compound': 0.9648}",0.9648
m/asylum2005,Asylum,Glenn Whipp,False,Rotten,Rotten,2005,"A silly but not unwatchable collection of some of Alfred Hitchcock's greatest bits, David Mackenzie's overheated Asylum is an interesting opportunity to watch some great actors working hard to overcome the general nuttiness of their movie.",male,"['Documentary', 'Drama', 'Special Interest']","{'neg': 0.032, 'neu': 0.576, 'pos': 0.392, 'compound': 0.9645}",0.9645
m/1122382-spellbound,Spellbound,Carrie Rickey,True,Certified-Fresh,Fresh,2003,"I love this movie, and I love the pride, spirit and sportsmanship of the kids who represent the best of American pluck and luck.",female,"['Documentary', 'Special Interest']","{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.9623}",0.9623
m/air_guitar_nation,Air Guitar Nation,Jan Stuart,True,Certified-Fresh,Fresh,2007,"A favorite on the film festival circuit, Alexandra Lipsitz's exuberantly funny documentary follows the triumphant path of an American air guitarist as he rises from U.S. East Coast champ to the top rankings of the international air guitar festival.",male,"['Documentary', 'Musical & Performing Arts', 'Special Interest']","{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.9618}",0.9618
m/brooklyn_castle_2012,Brooklyn Castle,Elias Savada,False,Certified-Fresh,Fresh,2013,"With Brooklyn Castle it's really nice to see so many young, positive minds at play in the world, and to cheer on so many smiling children dreaming of enlightened futures.",male,"['Documentary', 'Special Interest']","{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.9592}",0.9592
m/1215016-anita_oday_the_life_of_a_jazz_singer,Anita O'Day: The Life of a Jazz Singer,Louis Proyect,False,Fresh,Fresh,2008,Superb study of one of America's greatest jazz singers who lived to perform. The movie is a labor of love co-directed by her manager from the last 6 years of his life and a reminder that movies come alive when there is passion rather than money in the dri,male,"['Documentary', 'Musical & Performing Arts', 'Special Interest']","{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.959}",0.959
m/afghan_star,Afghan Star,Patrick Z. McGavin,False,Certified-Fresh,Fresh,2009,"Not a radical act of film-making and visually, it is far from an inspired piece of work - but it's a great example of a film where the strong content rules supreme.",male,"['Art House & International', 'Documentary', 'Musical & Performing Arts', 'Special Interest', 'Television']","{'neg': 0.0, 'neu': 0.584, 'pos': 0.416, 'compound': 0.959}",0.959
