rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/1125540-dummy,Dummy,Oz,False,Fresh,Fresh,2003,"Yes, I'm sounding like Joel Siegel here, but I simply loved this film. It's quite honestly a great time from end to end. I honestly can't think of a negative in the entire thing, and my therapist will tell you I'm a pretty negative guy.",male,"['Comedy', 'Drama']","{'neg': 0.0, 'neu': 0.461, 'pos': 0.539, 'compound': 0.99}",0.99
m/about_time,About Time,Austin Kennedy,False,Fresh,Fresh,2013,"Not only is this a great romance, but it's also a great Science Fiction film filled with some hilarious, charming and heartbreaking moments. With all the downbeat movies coming out this Awards season, it's refreshing to see a movie this delightful.",male,"['Comedy', 'Drama', 'Science Fiction & Fantasy']","{'neg': 0.061, 'neu': 0.456, 'pos': 0.483, 'compound': 0.9846}",0.9846
m/about_time,About Time,Abbie Bernstein,False,Fresh,Fresh,2019,"About Time is sweet, wistful and diverting, but a bit insubstantial when it comes to romance. It's most satisfying when it focuses on the love between parent and child. If this is your sort of love story, it's a good one.",female,"['Comedy', 'Drama', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.9831}",0.9831
m/blue_is_the_warmest_color,Blue Is The Warmest Color,Robert Roten,False,Certified-Fresh,Fresh,2013,"This film is nearly three hours long, but it held my interest throughout because I cared about these characters and what happens to them. This is a strong film which has won some awards and will probably win some more.",male,['Drama'],"{'neg': 0.0, 'neu': 0.548, 'pos': 0.452, 'compound': 0.9825}",0.9825
m/1005875-dinner_at_eight,Dinner at Eight,Ken Hanke,False,Fresh,Fresh,2003,"Feels like a very good, very entertaining movie, but Grand Hotel feels like something truly special. However, the good in Dinner at Eight is very good indeed.",male,"['Classics', 'Comedy', 'Drama', 'Romance']","{'neg': 0.0, 'neu': 0.367, 'pos': 0.633, 'compound': 0.9823}",0.9823
m/begin_again_2013,Begin Again,Linda Cook,False,Certified-Fresh,Fresh,2014,"People who love music, people who love great films, and people who love both, are sure to love 'Begin Again,' an exquisite film by John Carney, who wrought the equally superb 'Once.'",female,"['Comedy', 'Drama', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.478, 'pos': 0.522, 'compound': 0.9823}",0.9823
m/500_days_of_summer,500 Days of Summer,Robbie Collin,False,Certified-Fresh,Fresh,2009,"Sparklingly funny, beautifully heartfelt, wonderfully uplifting and brilliantly performed. In short, it's the best romantic film since . . . well, what exactly?",male,"['Comedy', 'Drama', 'Romance']","{'neg': 0.0, 'neu': 0.308, 'pos': 0.692, 'compound': 0.9799}",0.9799
m/1189629-the_great_buck_howard,The Great Buck Howard,Felicia Feaster,False,Fresh,Fresh,2020,"The Great Buck Howard has a pleasantly rueful approach. Instead of the scatological humor in raucous bromances like I Love You, Man, The Great Buck Howard offers a more low-key thoughtfulness about how success is defined.",female,"['Comedy', 'Drama']","{'neg': 0.0, 'neu': 0.481, 'pos': 0.519, 'compound': 0.9798}",0.9798
m/before_midnight_2013,Before Midnight,Guy Lodge,False,Certified-Fresh,Fresh,2013,"A bit tarter than its predecessors, but not skimping on their woozy, chatty charm, this perfectly played, gently incisive film is a welcome new chapter in one of cinema's most beguiling ongoing romances.",male,"['Drama', 'Romance']","{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.9798}",0.9798
m/about_a_boy,About a Boy,David Poland,False,Certified-Fresh,Fresh,2002,"About A Boy is a great love story... love of parent to child and child to parent, love of self, the platonic love of someone you never saw coming and ultimately, the love you thought you could never have and would never want, which changes you forever.",male,"['Comedy', 'Drama', 'Romance']","{'neg': 0.019, 'neu': 0.591, 'pos': 0.39, 'compound': 0.9796}",0.9796
