rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/bedtime_stories,Bedtime Stories,James Rocchi,False,Rotten,Rotten,2008,"Bedtime Stories tries to be charming and whimsical, but while charm and whimsy, like love, can be helped by great sums of money, charm and whimsy, like love, cannot be created by great sums of money.",male,"['Action & Adventure', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy']","{'neg': 0.031, 'neu': 0.372, 'pos': 0.596, 'compound': 0.9912}",0.9912
m/about_time,About Time,Austin Kennedy,False,Fresh,Fresh,2013,"Not only is this a great romance, but it's also a great Science Fiction film filled with some hilarious, charming and heartbreaking moments. With all the downbeat movies coming out this Awards season, it's refreshing to see a movie this delightful.",male,"['Comedy', 'Drama', 'Science Fiction & Fantasy']","{'neg': 0.061, 'neu': 0.456, 'pos': 0.483, 'compound': 0.9846}",0.9846
m/ant_man_and_the_wasp,Ant-Man and the Wasp,Eli Glasner,False,Certified-Fresh,Fresh,2018,"Great fun, a great cast overall...the best thing that Ant-Man and the Wasp delivers is fun. This is just antics, fun gags, all sorts of sides and shenanigans. The best stuff is bite-sized entertainment.",female,"['Action & Adventure', 'Comedy', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.46, 'pos': 0.54, 'compound': 0.9839}",0.9839
m/about_time,About Time,Abbie Bernstein,False,Fresh,Fresh,2019,"About Time is sweet, wistful and diverting, but a bit insubstantial when it comes to romance. It's most satisfying when it focuses on the love between parent and child. If this is your sort of love story, it's a good one.",female,"['Comedy', 'Drama', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.9831}",0.9831
m/aladdin,Aladdin,Charlie Ridgely,False,Rotten,Fresh,2019,"Aladdin is certainly less than the sum of its parts, but the parts are all so fantastic that it doesn't always matter. This is a fun adventure and a great time. Not exactly a whole new world, but certainly one that I don't mind journeying to again.",mostly_male,"['Action & Adventure', 'Kids & Family', 'Science Fiction & Fantasy']","{'neg': 0.018, 'neu': 0.586, 'pos': 0.395, 'compound': 0.978}",0.978
m/captain_marvel,Captain Marvel,Rob Dean,False,Certified-Fresh,Fresh,2019,"CAPTAIN MARVEL isn't bad but it isn't great. It has some excellent moments, terrific performances, and solid lines of dialogue...audiences should look forward to more adventures with Captain Marvel - but here's to hoping she soars better in those.",male,"['Action & Adventure', 'Science Fiction & Fantasy']","{'neg': 0.071, 'neu': 0.448, 'pos': 0.481, 'compound': 0.9767}",0.9767
m/byzantium_2012,Byzantium,Bernard Boo,False,Fresh,Fresh,2019,"What resonates most about Byzantium aren't its flaws, but its truly remarkable strengths-the themes of identity and trust; the richly textured, alluring imagery; the brilliantly acted relationships.",male,"['Art House & International', 'Drama', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.9765}",0.9765
m/bill_and_ted_face_the_music,Bill & Ted Face the Music,Carla Renata,False,Certified-Fresh,Rotten,2020,"Bill and Ted - Face The Music is corny and fun, but doesn't enhance this beloved franchise other than encouraging the world to be excellent. Sorry, I can't say the same for Keanu and Alex. Love them though.",female,"['Action & Adventure', 'Comedy', 'Science Fiction & Fantasy']","{'neg': 0.027, 'neu': 0.552, 'pos': 0.421, 'compound': 0.9763}",0.9763
m/beauty_and_the_beast_1991,Beauty and the Beast,Diva Velez,False,Certified-Fresh,Fresh,2012,"One of the brightest jewels in Disney's crown, Beauty and the Beast's 3D reissue takes nothing away and makes the film's brilliance even easier to appreciate; the movie is more beautiful and timeless than it ever was.",female,"['Animation', 'Drama', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.9761}",0.9761
m/captain_marvel,Captain Marvel,Josh Wilding,False,Certified-Fresh,Fresh,2019,"Brie Larson soars as Captain Marvel in this uneven but enjoyable origin story and while there's definitely room for improvement as the character's adventures continue, it's a good start and well worth checking out.",male,"['Action & Adventure', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.498, 'pos': 0.502, 'compound': 0.9757}",0.9757
