rotten_tomatoes_link,review_content,movie_title,genre_list
m/10003437-deep_blue,"A nice piece of work, but unfortunately it smacks of bandwagon-jumping following the success of such docs as Winged Migration.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"...if you want to have a majestically scored, beautiful, often haunting look into an unknown world, and only have 90 minutes to spare, go see ""Deep Blue.""",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,The filmmakers startlingly bring to life the beauty and balance of nature.,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"Taking us from God's-eye-views of the sparkling surface to the darkest depths, this ocean odyssey conveys a riveting sense of nature's infinite variety.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"The big screen adds extra impact to inspiring images which capture all the brutality, camaraderie and absurdity of the ocean.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"Practically every shot in Deep Blue offers some sort of remarkable, jaw-dropping sight.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"Fish gotta swim, birds gotta fly: you'll see both, nicely choreographed.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Mother Nature reveals herself not so much as an entity that needs to be preserved but an action director much fiercer than Michael Bay.,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"If you see Deep Blue in theaters, it will be hard to resist seeking out the entire eight-part miniseries.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Those looking for a refresher course on the workings of the food chain should be in heaven. All others may yearn for a sushi break.,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"Numerous films have explored undersea life, but few as comprehensively and as consistently compelling as Deep Blue.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,[A] meditative yet urgent documentary.,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Wide-ranging documentary on the mysteries and marvels of the ocean and the creatures that reside there.,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Alternately mind-blowing and mind-numbing.,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"It's not always pretty, but it's a shining of example of nature at its most brutal and beautiful.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,The film keeps facts and figures to a minimum and lets the breathtaking images (underscored by George Fenton's sometimes bombastic score) carry the show.,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"Deep Blue is a beautiful movie, nicely scored and elegantly shot. But it's all about as thrilling as a good aquarium.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,It's about half an hour too long and Pierce Brosnan's sonorous narration threatens to lull us to sleep on those rocking waves.,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,A beautiful but empty-headed documentary about the creatures that lurk in the sea.,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"It may not actually be comprehensive, but it feels like Deep Blue touches on all the points worth knowing, and more just for fun.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,...it reminded me very much of a lava lamp I had in college...,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"Deep Blue isn't as fortunate with screen dimensions, but it works, if only because it's hard to deny the vast beauty and mysteries that lie in our abyssal oceans.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"These iridescent oddities are pure science fiction, and they gave the grade-schooler in me a good 'Whoa!'",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,This is as good a visual treat as you and your kids can expect.,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"Even with consistently impressive camerawork, the movie still feels like the visual equivalent of elevator music -- with frolicking dolphins instead of Elton John ballads.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"A better action movie than most of what you'll see this summer, and there are certainly more visceral thrills.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"It goes on a little too long for mostly just pretty pictures, and you get more wonder than educational detail, but it's fascinating to look at.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"Documentary about the ocean's panorama of life is full of beauty, awe, terror, wonder -- and jaw-dropping cinematography.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"A trip reminding us that, while we continue to explore space, we have yet to fully penetrate the mysteries of our own planet.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,This majestic film has all the hallmarks of Beeb quality workmanship.,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"If nature films had genres, Deep Blue would be an action movie.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Lacks the connecting thesis statement that separates an above-par nature documentary from just a really cool episode of Animal Planet.,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,A sumptuous but occasionally soporific nature documentary.,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"Deep Blue, while as gorgeously photographed as other nature documentaries, is more grisly than most.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"There's certainly enough to hold one's interest during Deep Blue, but you won't learn as much as you would through a single corridor of Chicago's Shedd Aquarium.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,British filmmakers Andy Byatt and Alstair Fothergill don't try to teach us much; they just ask us to look at pretty fish.,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,You can safely await its appearance on the small screen in your home.,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"This is a nasty, nauseating, dispiriting movie and, to repeat, whatever you do, don't take the kids -- no matter what the G rating says.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"A magnificent look at the teeming, wildly varied life in and around the ocean.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue is like the oceans: stunningly beautiful and packed with shocking violence.,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Absorbing.,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,[E]xtraordinarily lush and fantastically adventurous...,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"Unfortunately, the film tries to say too much, and as a result ends up saying nothing. Also, this G-rated film contains scenes of animal attacks that are much too intense for young audiences.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"Stunning images of undersea life, ... but the footage is pieced together haphazardly, sometimes repetitively.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"we've been in an ocean-documentary glut of late, and Deep Blue just doesn't have much in it that we haven't seen a few times before",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Honestly: In how many movies can you see a polar bear attacking a bunch of whales?,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,"The information you find inside may not be anything more than you haven't garnered from watching Animal Planet, but it is an extremely well made and well shot piece.",Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue could have lived its life on TV and felt more at home,Deep Blue,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Stunning footage of aquatic life.,Deep Blue,"['Documentary', 'Special Interest']"
m/10004635-home_of_the_brave,"A serenely powerful, handcrafted film that navigates into a place Dr. Martin Luther King Jr. once called 'the tangled discords of our nation.'",Home of the Brave,"['Action & Adventure', 'Documentary', 'Drama', 'Special Interest']"
m/10004635-home_of_the_brave,"It is a film that should be required viewing by all citizens, especially students, if we hope not to repeat this awful chapter.",Home of the Brave,"['Action & Adventure', 'Documentary', 'Drama', 'Special Interest']"
m/10004635-home_of_the_brave,Powerful doc that indicts the FBI as much as it condemns the Ku Klux Klan.,Home of the Brave,"['Action & Adventure', 'Documentary', 'Drama', 'Special Interest']"
