rotten_tomatoes_link,review_content,movie_title,genre_list
m/10007538-silence,Eloquent direction lifts this beyond a genre whodunit.,The Silence,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Television']"
m/10007538-silence,"Nice, but nothing remarkable.",The Silence,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Television']"
m/10007538-silence,"Stylish, sexy and deeply emotionally resonant.",The Silence,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Television']"
m/10007538-silence,"Given that underwhelming police thriller The Silence is technically a made-for-TV movie, it might not be counted against helmer Cate Shortland as yet another example of the dreaded disappointing sophomore follow-up.",The Silence,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Television']"
m/10007538-silence,...an egregiously slow-paced piece of work that works neither as a character study nor as a police procedural...,The Silence,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Television']"
m/10007538-silence,"If it's scruff we're after, then production designer Melinda Doring obliges with compellingly old-fashioned interiors, occupied by gnarled narks and retirees.",The Silence,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Television']"
m/10011854-good_soldier,A well-intentioned but uninvolving anti-war documentary.,The Good Soldier,"['Documentary', 'Drama', 'Special Interest', 'Television']"
m/10011854-good_soldier,This profoundly provocative film has the potential to change society's attitude towards and acceptance of war. It is extremely important that it be seen as widely as possible.,The Good Soldier,"['Documentary', 'Drama', 'Special Interest', 'Television']"
m/10011854-good_soldier,"Unlike, for example, Errol Morris's recent works, it doesn't bother to buttress the eye-opening firsthand accounts with a coherent historical argument.",The Good Soldier,"['Documentary', 'Drama', 'Special Interest', 'Television']"
m/10011854-good_soldier,"Co-directors Lexy Levell and Michael Uys deserve a 21-gun salute for fashioning a sobering antidote to all that patriotic claptrap about serving God, country and apple pie.",The Good Soldier,"['Documentary', 'Drama', 'Special Interest', 'Television']"
m/10011854-good_soldier,Potent and wisely straightforward.,The Good Soldier,"['Documentary', 'Drama', 'Special Interest', 'Television']"
m/10011854-good_soldier,"Deeply affecting antiwar documentary arriving just at the right moment with Obama planning to send 40,000 more troops to Afghanistan and just after the senseless massacre at Fort Hood.",The Good Soldier,"['Documentary', 'Drama', 'Special Interest', 'Television']"
m/10011854-good_soldier,"An explicitly antiwar conclusion unwisely makes the grim focus feel like a bias, but the power of the interviews makes one wish for more stories, not fewer.",The Good Soldier,"['Documentary', 'Drama', 'Special Interest', 'Television']"
m/10011854-good_soldier,"A provocative, vital, honest and profoundly moving documentary.",The Good Soldier,"['Documentary', 'Drama', 'Special Interest', 'Television']"
m/10011854-good_soldier,"Avoids preaching to the choir, though perhaps only the choir will attend.",The Good Soldier,"['Documentary', 'Drama', 'Special Interest', 'Television']"
m/10011854-good_soldier,"Has important things to say. Sadly, it does so in an unexciting manner.",The Good Soldier,"['Documentary', 'Drama', 'Special Interest', 'Television']"
m/10011854-good_soldier,"A film whose benign-sounding title and Veterans Day release give a false impression of what it actually is: an attack on the military, drenched in blood.",The Good Soldier,"['Documentary', 'Drama', 'Special Interest', 'Television']"
m/10011854-good_soldier,"Their wars differ but their tales are eerily identical. Their material is arresting, with troves of detailed memories pouring out for the first time.",The Good Soldier,"['Documentary', 'Drama', 'Special Interest', 'Television']"
m/10011854-good_soldier,"The humane portrayals make it worthwhile, if unspectacular, viewing.",The Good Soldier,"['Documentary', 'Drama', 'Special Interest', 'Television']"
m/10011854-good_soldier,"The familiar format helps to underscore what's extraordinary about these stories, the fear and indignity felt by the soldiers.",The Good Soldier,"['Documentary', 'Drama', 'Special Interest', 'Television']"
m/10011854-good_soldier,Soldiers tell us the cost of killing,The Good Soldier,"['Documentary', 'Drama', 'Special Interest', 'Television']"
m/10011854-good_soldier,Effective in presenting these five men and the lasting effects that each one of them are currently going through as result of simply doing their job.,The Good Soldier,"['Documentary', 'Drama', 'Special Interest', 'Television']"
m/1003076-brians_song,It remains the best example of the most different of men competing fairly and getting along peacefully ever filmed.,Brian's Song,"['Classics', 'Drama', 'Television']"
m/1003076-brians_song,Made-for-TV eyewash for disheartened Bears fans to drown their sorrows in.,Brian's Song,"['Classics', 'Drama', 'Television']"
m/1003076-brians_song,"The film's emotions are obvious and blunt, but they get the job done.",Brian's Song,"['Classics', 'Drama', 'Television']"
m/1003076-brians_song,Weepy story of interracial pro football teammates.,Brian's Song,"['Classics', 'Drama', 'Television']"
m/1003076-brians_song,"On its own, somewhat obvious level, Brian's Song worked. Not least in its favor were two exceptionally fine performances: James Caan as Brian Piccolo and Billy Dee Williams as Gale Sayers.",Brian's Song,"['Classics', 'Drama', 'Television']"
m/1003076-brians_song,One of the all-time great sports dramas to grace the screen.,Brian's Song,"['Classics', 'Drama', 'Television']"
m/1005521-death_of_a_salesman,They MAKE you watch it in English class for a good reason!,Death of a Salesman,"['Drama', 'Television']"
m/1005521-death_of_a_salesman,"Schlndorff's artificial settings and some amazing performances help keep this from looking like a typical ""filmed play.""",Death of a Salesman,"['Drama', 'Television']"
m/1005521-death_of_a_salesman,"Death of a Salesman, directed by Volker Schlondorff, draws out the multiple meanings of this Pulitzer Prize-winning play by Arthur Miller about change, family and fatherhood, work and love.",Death of a Salesman,"['Drama', 'Television']"
m/1005521-death_of_a_salesman,A classic American tragedy.,Death of a Salesman,"['Drama', 'Television']"
m/1006037-doctor_zhivago,The movie is something that should be experienced by everyone at least once in a lifetime.,Doctor Zhivago,"['Classics', 'Drama', 'Television', 'Romance']"
