rotten_tomatoes_link,review_content,movie_title,genre_list
m/1000123-310_to_yuma,"Despite an abundance of talk, this 1957 film is often considered [Daves'] best.",3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,"Fine Daves, Ford collaborative western",3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,It's rather talky but always remains lively and tense.,3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,A taut Western (obviously inspired by High Noon) about a lone man bravely standing on principle when all others have abandoned him. Marred only by a phony ending.,3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,"It's of necessity a talkative film, with Ford working on Heflin's nerves in a stream of Machiavellian banter, but one held in perfect balance by Daves, who keeps the tension strung taut.",3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,This is a first-rate action picture -- a respectable second section to High Noon.,3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,The enjoyment here that outweighs the film's derivativeness comes in the dialogue and relationship developed between outlaw and rancher.,3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,"Made in the vein of The Gunfighter and High Noon, this mature psychological Western is arguably Delmer Daves best film, featuring Van Heflin (in the Gary Cooper role) and Glenn Ford as the bad-good guy at their most appealing and accomplished.",3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,"That the climax fizzles must be laid on doorstep of Halsted Welles, who adapts Elmore Leonard's story quite well until that point.",3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,"During the 1950s, the Western grew a conscience.",3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,An enjoyable western that's an excellent reminder of how - in the world of movies - sometimes less is best.,3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,"Though masterful in stretches, it ultimately mistakes feel-good qualities for truly satisfying ones.",3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,The new 3:10 to Yuma will have to be quite a film to stand up to the original.,3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,A sturdy genre piece.,3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,"The minutes tick toward 3:10, and all we can do is watch and hope that it all turns out ok. That's the best kind of Western, one that allows feelings like that to emerge while watching.",3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,No amount of climactic train smoke can mask the fact that the finale is fancifully optimistic gibberish.,3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,"Although not as nerve-wracking as High Noon, 3:10 to Yuma is even more claustrophobic… and the two-character drama is more intriguing than High Noon's protagonist standing alone.",3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,The film is something of a classic and boasts a terrific ending.,3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,"A portrait of storytelling made for and by the Silent Generation, an audience all too familiar with the world's spooky, white-knuckled moral twilight.",3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,"Daves isn't interested in cynicism. Redemption is probably too big a stretch as well, but there's plenty of room in-between.",3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,"Distinguished by its thoughtfulness regarding the nature of Western heroism, as defined not only by dead-eye gunplay, but by family, community, and moral rectitude. [Criterion Blu-ray]",3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,"Like The Gunfighter and Winchester '73, 3:10 to Yuma is one of those defining '50s Westerns that is well-known by film buffs but has never reached the familiarity level of a High Noon or Shane.",3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,The compositions evoke a kind of open-air claustrophobia ...,3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,It is hard to imagine a better Ben Wade than Glenn Ford.,3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000123-310_to_yuma,"Mind games replace gunplay to the point that, while the film's running time doesn't outstay its welcome, those expecting a nonstop shootout extravaganza may leave unsatisfied.",3:10 to Yuma,"['Classics', 'Drama', 'Western']"
m/1000560-alamo,The Alamo is an engaging and spectacular tribute to the power of filmmaking - both as socio-historic document and as a flashlight into the hearts of its participants.,The Alamo,"['Action & Adventure', 'Classics', 'Drama', 'Western']"
m/1000560-alamo,"There's a lot of talky drama and it takes more than two hours before you get to the fighting, but it remains an American epic.",The Alamo,"['Action & Adventure', 'Classics', 'Drama', 'Western']"
m/1000560-alamo,"Could Wayne have crafted a better film if he only tried his hand at directing, instead of putting on the hero's mantle as well? Doubtful.",The Alamo,"['Action & Adventure', 'Classics', 'Drama', 'Western']"
m/1000560-alamo,"Wildly overwrought, clumsy, and embarassingly directed.",The Alamo,"['Action & Adventure', 'Classics', 'Drama', 'Western']"
m/1000560-alamo,"John Wayne doesn't appear for the first twenty minutes of The Alamo, his 1960 directorial debut, and that's a bad sign.",The Alamo,"['Action & Adventure', 'Classics', 'Drama', 'Western']"
m/1000560-alamo,"Duke does Alamo redux. Heroic, overblown, speechy.",The Alamo,"['Action & Adventure', 'Classics', 'Drama', 'Western']"
m/1000560-alamo,"As his own producer and director, Mr. Wayne has unfortunately let his desire to make a ""big"" picture burden him with dialogue. His action scenes are usually vivid, his talk scenes are long and usually dull.",The Alamo,"['Action & Adventure', 'Classics', 'Drama', 'Western']"
m/1000560-alamo,Patriotic but inaccurate epic Western.,The Alamo,"['Action & Adventure', 'Classics', 'Drama', 'Western']"
m/1000560-alamo,"An elephantine, historically inaccurate, stridently patriotic tribute to the handful of Texans who faced assault by 7,000 Mexican baddies.",The Alamo,"['Action & Adventure', 'Classics', 'Drama', 'Western']"
m/1000560-alamo,"Despite a banal and preachy script, full of speeches about religion and patriotism,the film has some good action sequences; overall, it's not worse than the 2004 remake starring Billy Bob Thornton.",The Alamo,"['Action & Adventure', 'Classics', 'Drama', 'Western']"
m/1000560-alamo,"In spite of the painstaking attempts to explore the characters of the picture's three principal heroes (Bowie, Crockett, Travis), there is an absence of emotional feeling, of a sense of participation.",The Alamo,"['Action & Adventure', 'Classics', 'Drama', 'Western']"
m/1000560-alamo,"All the pontificating about the joys of freedom becomes irritating, but James Edward Grant's dialogue occasionally crackles with enough humorous wit to hold an audience untill the gripping finale.",The Alamo,"['Action & Adventure', 'Classics', 'Drama', 'Western']"
m/1000560-alamo,Interminable.,The Alamo,"['Action & Adventure', 'Classics', 'Drama', 'Western']"
m/1000560-alamo,"The film is sometimes too gabby and too sentimental but is magnificent to look at, and the inexorable climax is awesome in its scope and fury.",The Alamo,"['Action & Adventure', 'Classics', 'Drama', 'Western']"
m/10008613-burrowers,J.T Petty takes viewers on an unusual and frightening venture into the Old West with The Burrowers.,The Burrowers,"['Horror', 'Mystery & Suspense', 'Western']"
m/10008613-burrowers,"Beautifully shot and tightly scripted, it's the rare Hollywood genre film that's more concerned with human relationships and behavior than the mysterious supernatural forces that sets the action in motion.",The Burrowers,"['Horror', 'Mystery & Suspense', 'Western']"
m/10008613-burrowers,"The pacing is too pokey by half, and the payoff is a wrenching disappointment.",The Burrowers,"['Horror', 'Mystery & Suspense', 'Western']"
m/10008613-burrowers,"Sets you up for 'predictability' in both the western and horror departments, and then subverts those expectations time and again.",The Burrowers,"['Horror', 'Mystery & Suspense', 'Western']"
m/10008613-burrowers,"At his most placid, JT Petty can make Terrence Malick look like Guy Ritchie. But when he's not going full-'bore', his quiet, creepy brand of terror works on several levels.",The Burrowers,"['Horror', 'Mystery & Suspense', 'Western']"
m/10008613-burrowers,...a sporadically entertaining yet thoroughly ineffective misfire.,The Burrowers,"['Horror', 'Mystery & Suspense', 'Western']"
m/10008613-burrowers,"Petty is pursuing a more measured, sympathetic take on demons that feast on the gelatinous innards of innocent victims, manufacturing a tediously wandering picture that craves substance while itching to entertain its absurd grindhouse sensibilities.",The Burrowers,"['Horror', 'Mystery & Suspense', 'Western']"
m/10008613-burrowers,rewarding both as a horror film and a period piece.,The Burrowers,"['Horror', 'Mystery & Suspense', 'Western']"
m/10008613-burrowers,... proves once again that the old west still isn't the ideal place to set a monster movie.,The Burrowers,"['Horror', 'Mystery & Suspense', 'Western']"
m/10008613-burrowers,Director J.T Petty's nasty romp followed up Alex Turner's Dead Birds (2004) and preceeded John Geddes Exit Humanity (2011) in the Old West/monster movie mash-up genre; it may well be the best of them.,The Burrowers,"['Horror', 'Mystery & Suspense', 'Western']"
m/10008613-burrowers,... a real western/horror/monster movie with a devoted frontier sensibility and loving nods to The Searchers.,The Burrowers,"['Horror', 'Mystery & Suspense', 'Western']"
m/10008613-burrowers,"""The Burrowers"" is a very good movie, maybe the best I've seen in quite a while.",The Burrowers,"['Horror', 'Mystery & Suspense', 'Western']"
m/10008785-appaloosa,"Old fashioned Western, a meditation on honor, courage and camaraderie, is well helmed and acted, but commercially, it might fall between the cracks: It's too grown-up for young viewers and too familiar as a psychological Western for adults.",Appaloosa,"['Action & Adventure', 'Western']"
m/10008785-appaloosa,"A finely textured, riveting Western that marks a welcome return to a classic American genre. Bristles with violence and humanity",Appaloosa,"['Action & Adventure', 'Western']"
m/10008785-appaloosa,It is the romance that sets Appaloosa apart.,Appaloosa,"['Action & Adventure', 'Western']"
m/10008785-appaloosa,...modern in its playfulness while never seeming not of its period. Harris and Mortensen are good enough together to warrant another adventure.,Appaloosa,"['Action & Adventure', 'Western']"
m/10008785-appaloosa,"When you're lookin for an Olde Time, pistol-wieldin', rootin', tootin' varmint, hire somebody other than Jeremy Irons. What is this--Bonanza Revisited?",Appaloosa,"['Action & Adventure', 'Western']"
m/10008785-appaloosa,"While he thankfully avoids the actor-filmmaker avenger fantasies of The Three Burials of Melquiades Estrada, Harris doesn't have the genre chops to fill Appaloosa's empty spaces.",Appaloosa,"['Action & Adventure', 'Western']"
m/10008785-appaloosa,"Appaloosa is a pleasingly spacious piece of work, but for all of its little tangles it never musters the kick of a psychological duel.",Appaloosa,"['Action & Adventure', 'Western']"
m/10008785-appaloosa,Appaloosa demonstrates a better sense of history than Paul Thomas Anderson's hysterical There Will Be Blood. But Harris isn't a good enough director; he loses the mythical air that drives home a great Western's point.,Appaloosa,"['Action & Adventure', 'Western']"
m/10008785-appaloosa,"Ed Harris reunites with Viggo Mortensen, his co-star in A History of Violence, and the chemistry is easygoing and understated. But he should have left the direction to someone else.",Appaloosa,"['Action & Adventure', 'Western']"
m/10008785-appaloosa,It's high time for the western to be resuscitated as a genre; a picture that just pokes along amiably isn't enough to get the job done.,Appaloosa,"['Action & Adventure', 'Western']"
m/10008785-appaloosa,"The bullets may not be comparable to the Yuma remake or Kevin Costner's underrated Open Range, but the men holding the guns are still the same. So what if they're just a little bit different?",Appaloosa,"['Action & Adventure', 'Western']"
m/10008785-appaloosa,"too authentic to be populist, yet too familiar to transcend the genre and hang with the bona fide classics.",Appaloosa,"['Action & Adventure', 'Western']"
m/10008785-appaloosa,Bring back Hopalong Cassidy and Randolph Scott and you've got the making of a respectable horse opera.,Appaloosa,"['Action & Adventure', 'Western']"
m/10008785-appaloosa,Appaloosa is gripping entertainment that keeps springing surprises.,Appaloosa,"['Action & Adventure', 'Western']"
m/10008785-appaloosa,"A satisfying journey that doesn't require too much examination, just an appreciation of the scenery and what it took to get by during this period of American history.",Appaloosa,"['Action & Adventure', 'Western']"
m/10008785-appaloosa,"In the early going, Appaloosa does an efficient job of establishing the tense standoff between lawmen-for-hire Ed Harris and Viggo Mortensen, and a tyrannical rancher (an extravagantly sinister Jeremy Irons).",Appaloosa,"['Action & Adventure', 'Western']"
m/10008785-appaloosa,"If you're someone who orders the usual and is just happy when it comes out warm and fresh, I reckon Appaloosa will sit with you just fine.",Appaloosa,"['Action & Adventure', 'Western']"
m/10008785-appaloosa,"Crackling eccentric verbal wit as Harris' marshal seeks to 'button up this town tighter than a nun's corset' while overcome by Zellweger's irresistible flirty charms, because she 'chews her food nicely and even takes a bath before going to bed.",Appaloosa,"['Action & Adventure', 'Western']"
