rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/1131148-ned_kelly,Ned Kelly,Caffeinated Clint,False,Rotten,Fresh,2003,"an exciting movie filled with plenty of action, adventure, beautiful cinematography and best of all, terrific performances..Ledger is fantastic as Kelly",unknown,"['Action & Adventure', 'Drama', 'Western']","{'neg': 0.0, 'neu': 0.425, 'pos': 0.575, 'compound': 0.9652}",0.9652
m/310_to_yuma,3:10 to Yuma,Urban Cinefile Critics,False,Certified-Fresh,Fresh,2008,"Cinematic and wonderful on the big screen, this magnificent remake revisits the grandeur of the western, tossing around elements of morality in the melee of good pitted against evil... Russell Crowe is splendid.",male,"['Action & Adventure', 'Drama', 'Western']","{'neg': 0.0, 'neu': 0.603, 'pos': 0.397, 'compound': 0.9608}",0.9608
m/1003318-butch_cassidy_and_the_sundance_kid,Butch Cassidy and the Sundance Kid,Tim Dirks,False,Certified-Fresh,Fresh,2000,"Butch Cassidy and the Sundance Kid (1969) is the likeably entertaining, charming and amusing comedy/drama of the friendship and camaraderie shared between the two handsome and humorous buddy leads - legendary, turn-of-the-century Western outlaws...",male,"['Action & Adventure', 'Classics', 'Western']","{'neg': 0.0, 'neu': 0.56, 'pos': 0.44, 'compound': 0.9607}",0.9607
m/bone_tomahawk,Bone Tomahawk,Stefan Pape,False,Certified-Fresh,Fresh,2015,"As a western it's enthralling with depth and visual splendour, resonating like sunstroke, but the film soon unfurls into a terror-fired juggernaut that macerates the senses then leaves you amazed, exhilarated and hugely entertained.",male,"['Action & Adventure', 'Horror', 'Western']","{'neg': 0.0, 'neu': 0.605, 'pos': 0.395, 'compound': 0.9561}",0.9561
m/bone_tomahawk,Bone Tomahawk,Alistair Ryder,False,Certified-Fresh,Fresh,2017,"Like many esteemed classics of the genre, Bone Tomahawk is an exploitation movie at heart, but has the courage of its convictions to treat its material as a gory grindhouse feature, albeit one made with love and effort.",male,"['Action & Adventure', 'Horror', 'Western']","{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.9542}",0.9542
m/1021312-three_amigos,Three Amigos!,Roger Ebert,True,Rotten,Rotten,2000,"All great farces need a certain insane focus, an intensity that declares how important they are to themselves. This movie is too confident, too relaxed, too clever to be really funny.",male,"['Comedy', 'Western']","{'neg': 0.06, 'neu': 0.486, 'pos': 0.455, 'compound': 0.9509}",0.9509
m/blackthorn,Blackthorn,Matthew Turner,False,Certified-Fresh,Fresh,2012,"Engaging and enjoyable, this is an impressively directed, beautifully shot Western with a thoughtful script and terrific performances from Sam Shepard and Eduardo Noriega.",male,"['Action & Adventure', 'Western']","{'neg': 0.0, 'neu': 0.49, 'pos': 0.51, 'compound': 0.9493}",0.9493
m/1131148-ned_kelly,Ned Kelly,Caffeinated Clint,False,Rotten,Fresh,2003,"It's an exciting movie filled with plenty of action, adventure, beautiful cinematography and best of all, terrific performances.",unknown,"['Action & Adventure', 'Drama', 'Western']","{'neg': 0.0, 'neu': 0.438, 'pos': 0.562, 'compound': 0.9493}",0.9493
m/1127407-missing,The Missing,Eric Lurio,False,Rotten,Rotten,2003,"This is not one of Howard's better films, but a mediocre Ron Howard film is better than the best of better than half of Hollywood.",male,"['Action & Adventure', 'Drama', 'Special Interest', 'Western']","{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.9473}",0.9473
m/assassination_of_jesse_james_by_the_coward_robert_ford,The Assassination of Jesse James by the Coward Robert Ford,Lisa Kennedy,True,Certified-Fresh,Fresh,2007,Awesome splendor and a striking essay on celebrity reward those who brave the 2 1/2-hour run time.,female,"['Action & Adventure', 'Drama', 'Western']","{'neg': 0.0, 'neu': 0.42, 'pos': 0.58, 'compound': 0.9451}",0.9451
