rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/bedtime_stories,Bedtime Stories,James Rocchi,False,Rotten,Rotten,2008,"Bedtime Stories tries to be charming and whimsical, but while charm and whimsy, like love, can be helped by great sums of money, charm and whimsy, like love, cannot be created by great sums of money.",male,"['Action & Adventure', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy']","{'neg': 0.031, 'neu': 0.372, 'pos': 0.596, 'compound': 0.9912}",0.9912
m/1125540-dummy,Dummy,Oz,False,Fresh,Fresh,2003,"Yes, I'm sounding like Joel Siegel here, but I simply loved this film. It's quite honestly a great time from end to end. I honestly can't think of a negative in the entire thing, and my therapist will tell you I'm a pretty negative guy.",male,"['Comedy', 'Drama']","{'neg': 0.0, 'neu': 0.461, 'pos': 0.539, 'compound': 0.99}",0.99
m/anchorman,Anchorman - The Legend Of Ron Burgundy,Chris Hewitt,False,Fresh,Rotten,2004,"Occasionally, it entertains us for three minutes or so, but it lurches from one skitlike scene to another, charting out like this: funny, not funny, not funny, funny, not, not, not, funny, not, funny, not, not.",mostly_male,['Comedy'],"{'neg': 0.0, 'neu': 0.461, 'pos': 0.539, 'compound': 0.9879}",0.9879
m/about_time,About Time,Austin Kennedy,False,Fresh,Fresh,2013,"Not only is this a great romance, but it's also a great Science Fiction film filled with some hilarious, charming and heartbreaking moments. With all the downbeat movies coming out this Awards season, it's refreshing to see a movie this delightful.",male,"['Comedy', 'Drama', 'Science Fiction & Fantasy']","{'neg': 0.061, 'neu': 0.456, 'pos': 0.483, 'compound': 0.9846}",0.9846
m/ant_man_and_the_wasp,Ant-Man and the Wasp,Eli Glasner,False,Certified-Fresh,Fresh,2018,"Great fun, a great cast overall...the best thing that Ant-Man and the Wasp delivers is fun. This is just antics, fun gags, all sorts of sides and shenanigans. The best stuff is bite-sized entertainment.",female,"['Action & Adventure', 'Comedy', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.46, 'pos': 0.54, 'compound': 0.9839}",0.9839
m/1004141-christmas_in_connecticut,Christmas in Connecticut,Rachel Wagner,False,Fresh,Fresh,2019,It's nothing that's going to change your life or anything but if you want a pleasant and romantic comedy that has some good laughs and some good chemistry it's a... really entertaining little Christmas movie.,female,"['Classics', 'Comedy']","{'neg': 0.0, 'neu': 0.473, 'pos': 0.527, 'compound': 0.9834}",0.9834
m/about_time,About Time,Abbie Bernstein,False,Fresh,Fresh,2019,"About Time is sweet, wistful and diverting, but a bit insubstantial when it comes to romance. It's most satisfying when it focuses on the love between parent and child. If this is your sort of love story, it's a good one.",female,"['Comedy', 'Drama', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.9831}",0.9831
m/barbershop_2_back_in_business,Barbershop 2: Back in Business,Mark Bazer,False,Fresh,Fresh,2004,"What made the first film such a success -- the hilarious banter in the shop; the moving but never sappy personal dramas; a respect for history; the true affection for the city; and, of course, the brilliance of Cedric the Entertainer -- is still intact.",male,['Comedy'],"{'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.983}",0.983
m/1005875-dinner_at_eight,Dinner at Eight,Ken Hanke,False,Fresh,Fresh,2003,"Feels like a very good, very entertaining movie, but Grand Hotel feels like something truly special. However, the good in Dinner at Eight is very good indeed.",male,"['Classics', 'Comedy', 'Drama', 'Romance']","{'neg': 0.0, 'neu': 0.367, 'pos': 0.633, 'compound': 0.9823}",0.9823
m/begin_again_2013,Begin Again,Linda Cook,False,Certified-Fresh,Fresh,2014,"People who love music, people who love great films, and people who love both, are sure to love 'Begin Again,' an exquisite film by John Carney, who wrought the equally superb 'Once.'",female,"['Comedy', 'Drama', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.478, 'pos': 0.522, 'compound': 0.9823}",0.9823
