rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/20000_days_on_earth,"20,000 Days on Earth",Ray Pride,False,Certified-Fresh,Fresh,2014,"It sounds like so much attenuated tosh, but this bold, unique gem is bright, funny, brooding, hopeful, momentarily visionary, a wounded beauty exploring the creative process in a fresh and oft-brilliant fashion.",mostly_male,"['Documentary', 'Musical & Performing Arts', 'Special Interest']","{'neg': 0.0, 'neu': 0.359, 'pos': 0.641, 'compound': 0.9888}",0.9888
m/birth_of_the_living_dead,Birth Of The Living Dead,Chuck Bowen,False,Fresh,Fresh,2013,"The film is unavoidably slight, but there's a certain pleasure in watching talented people wax passionate about a common source of inspiration.",male,"['Documentary', 'Special Interest']","{'neg': 0.0, 'neu': 0.413, 'pos': 0.587, 'compound': 0.9731}",0.9731
m/amazing_grace_2018,Amazing Grace,Frank Ochieng,False,Certified-Fresh,Fresh,2018,"[A] soulfully dynamic documentary. Amazing Grace is a resonating reminder of what a legendary entertainer Aretha Franklin was in conviction and consciousness. Purely uplifting in its astounding skin, Amazing Grace does Aretha Franklin's legacy proud.",male,"['Documentary', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.507, 'pos': 0.493, 'compound': 0.9729}",0.9729
m/alive_inside,Alive Inside,David Hiltbrand,True,Certified-Fresh,Fresh,2014,"Alive Inside is a small but vibrant miracle. The documentary finds hope and joy in one of our nation's bleakest settings, nursing homes.",male,"['Documentary', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.452, 'pos': 0.548, 'compound': 0.9707}",0.9707
m/apollo_11_2019,Apollo 11,Erick Estrada,False,Certified-Fresh,Fresh,2019,"The base is understanding how the trip to the moon was accomplished, but the true success of this documentary is still creating an atmosphere of suspense surrounding this great feat even when we know what happens. [Full review in Spanish]",male,['Documentary'],"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.9695}",0.9695
m/being_elmo_a_puppeteers_journey,Being Elmo: A Puppeteer's Journey,Marsha Lederman,True,Certified-Fresh,Fresh,2012,"[Clash is] portrayed as a mild-mannered, kind, giving, supremely talented soul, with a deep love for the puppet he animates and the children who love him.",female,"['Documentary', 'Television']","{'neg': 0.0, 'neu': 0.459, 'pos': 0.541, 'compound': 0.969}",0.969
m/batkid_begins,Batkid Begins,Peter Canavese,False,Certified-Fresh,Fresh,2015,"Celebrates a city united for fun and goodwill, and the rare, pronounced sense of play and energy adults are capable of rediscovering, as do those who toil excitedly and hopefully to give Miles 'a little bit of his childhood back.'",male,['Documentary'],"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.9678}",0.9678
m/amazing_grace_2018,Amazing Grace,Sean P. Means,False,Certified-Fresh,Fresh,2019,"""Amazing Grace"" serves as a testament to the power of Aretha Franklin's talent, the strength of her faith, and the love of the community who supported her.",male,"['Documentary', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.465, 'pos': 0.535, 'compound': 0.9678}",0.9678
m/1190970-ghost_town,Ghost Town,Claudia Puig,True,Certified-Fresh,Fresh,2008,"Sure, it's a light comedy, but it effectively achieves what it sets out to do: amuse us and tug on our heartstrings. And best of all, it's written, directed and acted with intelligence and wit.",female,"['Comedy', 'Documentary', 'Science Fiction & Fantasy', 'Special Interest']","{'neg': 0.0, 'neu': 0.574, 'pos': 0.426, 'compound': 0.9672}",0.9672
m/big_star_nothing_can_hurt_me,Big Star: Nothing Can Hurt Me,John Beifuss,False,Fresh,Fresh,2012,"A true passion project: A movie that is both a smart, definitive documentary and the ultimate love letter to its subject, the 1970s Memphis power pop band that proved vastly more popular and influential after its dissolution than when it was active.",male,"['Documentary', 'Musical & Performing Arts']","{'neg': 0.0, 'neu': 0.596, 'pos': 0.404, 'compound': 0.9668}",0.9668
