rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/bedtime_stories,Bedtime Stories,James Rocchi,False,Rotten,Rotten,2008,"Bedtime Stories tries to be charming and whimsical, but while charm and whimsy, like love, can be helped by great sums of money, charm and whimsy, like love, cannot be created by great sums of money.",male,"['Action & Adventure', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy']","{'neg': 0.031, 'neu': 0.372, 'pos': 0.596, 'compound': 0.9912}",0.9912
m/1197696-fantastic_mr_fox,Fantastic Mr. Fox,James Rocchi,True,Certified-Fresh,Fresh,2009,"Cool, clever, crafty and delirious amounts of fun, ""Fantastic Mr. Fox"" is full of brilliant visual invention and silly slapstick while also having hip humor and sly smarts -- it's pure movie-going joy and a rare kind of pleasure.",male,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family']","{'neg': 0.0, 'neu': 0.491, 'pos': 0.509, 'compound': 0.9799}",0.9799
m/akeelah_and_the_bee,Akeelah and the Bee,Willie Waffle,False,Certified-Fresh,Fresh,2006,"heartwarming feel good story about an underdog trying to overcome the odds and achieve fantastic victory, while also winning over an entire community inspired by her bravery. Yep, that sounds pretty good to me, too.",mostly_male,"['Drama', 'Kids & Family']","{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.9792}",0.9792
m/cars_3,Cars 3,Richard Roeper,True,Fresh,Fresh,2017,"Cars 3 is a lovely, clever and entertaining generational tale with tons of heart, a simple and effective storyline, wonderful candy-colored visuals and winning voice work from the talented cast of returning regulars and welcome newcomers.",male,"['Animation', 'Comedy', 'Kids & Family']","{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.9781}",0.9781
m/aladdin,Aladdin,Charlie Ridgely,False,Rotten,Fresh,2019,"Aladdin is certainly less than the sum of its parts, but the parts are all so fantastic that it doesn't always matter. This is a fun adventure and a great time. Not exactly a whole new world, but certainly one that I don't mind journeying to again.",mostly_male,"['Action & Adventure', 'Kids & Family', 'Science Fiction & Fantasy']","{'neg': 0.018, 'neu': 0.586, 'pos': 0.395, 'compound': 0.978}",0.978
m/big_hero_6,Big Hero 6,Danielle Riendeau,False,Certified-Fresh,Fresh,2017,"Big Hero 6 is clever, sweet and intensely likable, much like its band of heroes. I walked out of the theater happy and energized, and if the young families in my screening were any indication, just like a kid.",female,"['Animation', 'Kids & Family']","{'neg': 0.0, 'neu': 0.524, 'pos': 0.476, 'compound': 0.9762}",0.9762
m/beauty_and_the_beast_1991,Beauty and the Beast,Diva Velez,False,Certified-Fresh,Fresh,2012,"One of the brightest jewels in Disney's crown, Beauty and the Beast's 3D reissue takes nothing away and makes the film's brilliance even easier to appreciate; the movie is more beautiful and timeless than it ever was.",female,"['Animation', 'Drama', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.9761}",0.9761
m/charlottes_web,Charlotte's Web,MaryAnn Johanson,False,Certified-Fresh,Fresh,2006,"Happy happy, joy joy... This is a wonder of gentle humor, tender sentiment, and uplifting philosophy about the joys of friendship, the marvels of nature, the circle of life.",unknown,"['Animation', 'Drama', 'Kids & Family']","{'neg': 0.0, 'neu': 0.442, 'pos': 0.558, 'compound': 0.9758}",0.9758
m/1142872-sky_high,Sky High,James Rocchi,False,Fresh,Fresh,2005,"Disney's kid flick about a superhero high school isn't groundbreaking, but it is great family fun with a strong cast and a nice sense of entertainment.",male,"['Action & Adventure', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.451, 'pos': 0.549, 'compound': 0.9749}",0.9749
m/charlottes_web,Charlotte's Web,Carla Meyer,False,Certified-Fresh,Fresh,2006,"Charlotte's Web gives E.B. White's classic tale a spiffy cinematic update but leaves its core values intact. Visually accomplished and heartfelt, this G-rated gem is radiant, terrific and really some film.",female,"['Animation', 'Drama', 'Kids & Family']","{'neg': 0.0, 'neu': 0.514, 'pos': 0.486, 'compound': 0.974}",0.974
m/1019187-sleeping_beauty,Sleeping Beauty,Jeff Beck,False,Certified-Fresh,Fresh,2014,"Sleeping Beauty is a masterpiece that looks and sounds better than ever on Blu-ray, and with an outstanding selection of fascinating special features, this is a release that is easily labeled a must-own.",male,"['Animation', 'Classics', 'Kids & Family', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.496, 'pos': 0.504, 'compound': 0.9732}",0.9732
m/10009063-perfect_holiday,The Perfect Holiday,Connie Ogle,True,Rotten,Fresh,2007,The messages here are what you'd expect: Love your family. Don't be selfish. Don't tell lies. Have a happy holiday. Christmas doesn't have to be perfect to entertain you. Just like this movie.,mostly_female,"['Kids & Family', 'Romance']","{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.9719}",0.9719
m/charlie_brown_thanksgiving,A Charlie Brown Thanksgiving,Michael Walsh,False,Fresh,Fresh,2018,"The Great Pumpkin may be infinitely memorable, but the Thanksgiving special has a better story and themes more meaningful for the holiday it is celebrating.",male,"['Animation', 'Drama', 'Kids & Family']","{'neg': 0.0, 'neu': 0.451, 'pos': 0.549, 'compound': 0.9717}",0.9717
m/big_hero_6,Big Hero 6,Debbie Lynn Elias,False,Certified-Fresh,Fresh,2019,"Soaring with action, adventure, charm, heart, soul and a whole lot of fun - not to mention Baymax, one of the most adorable heroes ever... Big Hero 6 is the new big screen hero!",female,"['Animation', 'Kids & Family']","{'neg': 0.0, 'neu': 0.512, 'pos': 0.488, 'compound': 0.9715}",0.9715
m/aladdin,Aladdin,Ruth Maramis,False,Rotten,Fresh,2019,"I went in hoping to be pleasantly surprised and I was! It has its problems, but overall it's a fun affair thanks to its charming leads. Naomi Scott is a revelation with a bold, defiant new song fit for an empowered princess.",female,"['Action & Adventure', 'Kids & Family', 'Science Fiction & Fantasy']","{'neg': 0.074, 'neu': 0.473, 'pos': 0.453, 'compound': 0.9707}",0.9707
m/beauty_and_the_beast_1991,Beauty and the Beast,Steven D. Greydanus,False,Certified-Fresh,Fresh,2010,"At the intersection of great animated films, great filmed stage musicals, and great fairy-tale romances, Disney's Beauty and the Beast stands alone ... the quintessential Disney masterpiece.",male,"['Animation', 'Drama', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.045, 'neu': 0.449, 'pos': 0.506, 'compound': 0.9702}",0.9702
m/10009063-perfect_holiday,The Perfect Holiday,Debbie Lynn Elias,False,Rotten,Fresh,2019,"Not just a film that I would I take all of my nephews to see, but one that would bring a smile to my grandmother's face were she here watching it, The Perfect Holiday is the perfect holiday film.",female,"['Kids & Family', 'Romance']","{'neg': 0.0, 'neu': 0.595, 'pos': 0.405, 'compound': 0.97}",0.97
m/astro_boy,Astro Boy (AstroBoy),Diva Velez,False,Rotten,Fresh,2009,"Astro Boy stands on its own as a nifty piece of animated fun, full of good lessons, brisk pacing and humour and sweetness the original anime sometimes lacked. It does Osamu Tezuka's source creation proud.",female,"['Action & Adventure', 'Animation', 'Kids & Family', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.507, 'pos': 0.493, 'compound': 0.9694}",0.9694
m/born_free,Born Free,David Parkinson,False,Fresh,Fresh,2015,"Beautifully shot, brilliantly scored by John Barry and sensitively staged by director James Hill, this charming adaptation of Joy Adamson's bestseller is one of the great animal films.",male,"['Action & Adventure', 'Drama', 'Kids & Family']","{'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.9686}",0.9686
