rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/amateur_2018,Amateur,Dan Mecca,False,Fresh,Fresh,2018,"We've gotten plenty of sports films over the years, but precious few that wade into the deep, dark machinery that fuel the underdog stories and inspirational tales we love to love.",male,"['Drama', 'Sports & Fitness']","{'neg': 0.0, 'neu': 0.561, 'pos': 0.439, 'compound': 0.9753}",0.9753
m/1212694-blind_side,The Blind Side,Philip Martin,False,Fresh,Fresh,2010,"Enjoyable, mass-market crowd pleaser that allowed Sandra Bullock to win an honorable Best Actress Oscar as the Republican spitfire who takes up the cause of a homeless teenager who just so happens to also be an outstanding left tackle.",male,"['Comedy', 'Drama', 'Sports & Fitness']","{'neg': 0.0, 'neu': 0.603, 'pos': 0.397, 'compound': 0.9686}",0.9686
m/1001634-bang_the_drum_slowly,Bang The Drum Slowly,Richard Schickel,True,Fresh,Fresh,2008,"A funny, gentle and honestly sentimental movie that is easily one of the best of the year in any category, and very possibly the best movie about sport ever made in this country.",male,"['Classics', 'Comedy', 'Drama', 'Sports & Fitness']","{'neg': 0.0, 'neu': 0.533, 'pos': 0.467, 'compound': 0.9678}",0.9678
m/1212694-blind_side,The Blind Side,Colin Newton,False,Fresh,Fresh,2010,"The film is also up for an Oscar but will surely fall into the ""it's an honour just to be nominated"" category. Still, it's an enjoyable film and arguably Bullock's best.",male,"['Comedy', 'Drama', 'Sports & Fitness']","{'neg': 0.053, 'neu': 0.553, 'pos': 0.394, 'compound': 0.9587}",0.9587
m/1155467-glory_road,Glory Road,Peter Hartlaub,True,Rotten,Rotten,2006,"Glory Road abandons the clinical and compelling storytelling of the great recent Disney hockey movie Miracle, and aims instead for the contrived sentimentality of the slightly less great Remember the Titans.",male,"['Drama', 'Sports & Fitness']","{'neg': 0.05, 'neu': 0.523, 'pos': 0.427, 'compound': 0.9538}",0.9538
m/1155467-glory_road,Glory Road,Bob Strauss,False,Rotten,Fresh,2006,"Glory Road's greatest strength is that it's just a great story, acted well.",male,"['Drama', 'Sports & Fitness']","{'neg': 0.0, 'neu': 0.29, 'pos': 0.71, 'compound': 0.9524}",0.9524
m/britt_marie_was_here,Britt-Marie Was Here,Diane Carson,False,Fresh,Fresh,2019,"A great deal of the credit for the film's success goes to the wonderful Pernilla August as Britt-Marie, as unusual a protagonist as she is welcome.",female,"['Comedy', 'Drama', 'Sports & Fitness']","{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.9524}",0.9524
m/1017776-rocky,Rocky,Roger Ebert,True,Certified-Fresh,Fresh,2004,"A description of it would sound like a cliche from beginning to end. But Rocky isn't about a story, it's about a hero. And it's inhabited with supreme confidence by a star.",male,"['Drama', 'Sports & Fitness']","{'neg': 0.0, 'neu': 0.59, 'pos': 0.41, 'compound': 0.9517}",0.9517
m/1155467-glory_road,Glory Road,Ann Hornaday,True,Rotten,Fresh,2006,"It's one helluva story, and if this moving, and even thrilling little movie finally brings Haskins and a truly great American sports story to light, then three cheers and hooray.",female,"['Drama', 'Sports & Fitness']","{'neg': 0.0, 'neu': 0.593, 'pos': 0.407, 'compound': 0.9477}",0.9477
m/because_of_winndixie,Because of Winn-Dixie,Nell Minow,False,Rotten,Fresh,2005,strong appearances by top talent in the adult roles and graceful evocation of a gently rural community by director Wayne Wang keep it for the most part more sweet than sugary.,female,"['Comedy', 'Drama', 'Kids & Family', 'Sports & Fitness']","{'neg': 0.0, 'neu': 0.579, 'pos': 0.421, 'compound': 0.9473}",0.9473
m/1009427-heaven_can_wait,Heaven Can Wait,Frank Rich,True,Certified-Fresh,Fresh,2014,"[The film] has everything going for it: big laughs, populist politics, billowy sequences set in heaven, a murder plot, a climactic Super Bowl game, a supporting cast of choice comic actors, and best of all, a touching (but PG) romance.",male,"['Comedy', 'Science Fiction & Fantasy', 'Romance', 'Sports & Fitness']","{'neg': 0.086, 'neu': 0.529, 'pos': 0.385, 'compound': 0.9468}",0.9468
m/1009427-heaven_can_wait,Heaven Can Wait,Daniel Etherington,False,Certified-Fresh,Fresh,2003,"It may not have had quite the resonance of Beatty's earlier work, but Heaven Can Wait is a smart, likeable 1970s comedy with a heart.",male,"['Comedy', 'Science Fiction & Fantasy', 'Romance', 'Sports & Fitness']","{'neg': 0.0, 'neu': 0.555, 'pos': 0.445, 'compound': 0.9455}",0.9455
m/because_of_winndixie,Because of Winn-Dixie,Jean Lowerison,False,Rotten,Fresh,2005,"Because of Winn-Dixie, based on the much-praised children's book by Kate DiCamillo, is about loss and the ways people deal with it, but also about joy, hope and love.",male,"['Comedy', 'Drama', 'Kids & Family', 'Sports & Fitness']","{'neg': 0.04, 'neu': 0.602, 'pos': 0.358, 'compound': 0.9451}",0.9451
m/1009427-heaven_can_wait,Heaven Can Wait,Emanuel Levy,False,Certified-Fresh,Fresh,2008,"Supremely produced, this whimsical romantic comedy served as star vehicle for Julie Christie and Warren Beatty, who made an impressive co-directing debut with Buck Henry; the film deservedly won the Oscar for Art Direction.",male,"['Comedy', 'Science Fiction & Fantasy', 'Romance', 'Sports & Fitness']","{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.9451}",0.9451
m/1001634-bang_the_drum_slowly,Bang The Drum Slowly,Bob Bloom,False,Fresh,Fresh,2004,A great baseball movie and a touching buddy film with De Niro showing the talent that has made him one of our best actors. Moriarity gives a fine performance as his star-pitcher friend.,male,"['Classics', 'Comedy', 'Drama', 'Sports & Fitness']","{'neg': 0.0, 'neu': 0.608, 'pos': 0.392, 'compound': 0.9442}",0.9442
m/1009427-heaven_can_wait,Heaven Can Wait,Jonathan Rosenbaum,True,Certified-Fresh,Fresh,2007,"It's certainly likable enough and was a big hit when it came out, but one could hardly call it an auspicious artistic debut -- a crafty commercial entertainment with a certain amount of intelligence is more like it.",male,"['Comedy', 'Science Fiction & Fantasy', 'Romance', 'Sports & Fitness']","{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.9422}",0.9422
m/battle_of_the_sexes,Battle of the Sexes,Alistair Harkness,False,Certified-Fresh,Fresh,2017,"Battle of the Sexes has the honour of being the first great film about tennis, but it's also a joyous celebration of an important moment of progress that needs to be remembered - now more than ever.",male,"['Comedy', 'Drama', 'Sports & Fitness']","{'neg': 0.038, 'neu': 0.614, 'pos': 0.348, 'compound': 0.9398}",0.9398
