rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/1016513-poltergeist,Poltergeist,Walter Chaw,False,Certified-Fresh,Fresh,2009,"Spielberg clockwork: great suburbs, great special effects, great abuse of an expositive score, great overuse of the slow push-in, great hot mom, great irrelevant dad, great plucky little kids.",male,['Horror'],"{'neg': 0.076, 'neu': 0.36, 'pos': 0.565, 'compound': 0.9821}",0.9821
m/byzantium_2012,Byzantium,Bernard Boo,False,Fresh,Fresh,2019,"What resonates most about Byzantium aren't its flaws, but its truly remarkable strengths-the themes of identity and trust; the richly textured, alluring imagery; the brilliantly acted relationships.",male,"['Art House & International', 'Drama', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.9765}",0.9765
m/carrie,Carrie,Amie Simon,False,Rotten,Fresh,2019,"There are a lot of good things here: the updates Pierce added make perfect sense, I really loved the special F/X, the score is AMAZING, and the casting is gorgeous.",female,['Horror'],"{'neg': 0.0, 'neu': 0.497, 'pos': 0.503, 'compound': 0.9729}",0.9729
m/1br,1BR,Joe Lipsett,False,Certified-Fresh,Fresh,2019,"...the film boasts a great lead performance, a series of surprising twists and great use of sound. At its core, 1BR is a smart, satisfying thriller that will make audiences reevaluate the true cost of ""the perfect apartment.""",male,['Horror'],"{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.9716}",0.9716
m/better_watch_out,Better Watch Out,Molly Henery,False,Certified-Fresh,Fresh,2018,Better Watch Out breaks the mold of the typical holiday slasher and is sure to be on everyone's holiday must-watch list. It takes what audiences love about the holidays and everything they love about horror to create a fun new Christmas movie.,female,"['Drama', 'Horror', 'Mystery & Suspense']","{'neg': 0.06, 'neu': 0.502, 'pos': 0.438, 'compound': 0.9694}",0.9694
m/camp_cold_brook,Camp Cold Brook,Noel Murray,True,Rotten,Fresh,2020,"Very little about this movie feels fresh or original; but a talented cast, a solid Alex Carl script, and director Andy Palmer's energetic pace and playful tone do make ""Camp Cold Brook"" unusually fun.",male,"['Horror', 'Mystery & Suspense']","{'neg': 0.0, 'neu': 0.529, 'pos': 0.471, 'compound': 0.9692}",0.9692
m/1189344-lovely_bones,The Lovely Bones,Jeffrey Westhoff,False,Rotten,Fresh,2010,"Artistically and technically, this film is superb, rich in excellent performances, wondrous visuals and compelling ideas. Yet for all its brilliance, The Lovely Bones remains elusive.",male,"['Drama', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.9682}",0.9682
m/1109257-others,The Others,Scott Weinberg,False,Certified-Fresh,Fresh,2001,"Thanks to a deft directorial hand, a wonderful attention to detail and some gloriously entertaining performances, The Others ranks among the best movies of the year.",male,"['Horror', 'Mystery & Suspense']","{'neg': 0.0, 'neu': 0.464, 'pos': 0.536, 'compound': 0.9674}",0.9674
m/1212640-eclipse,The Eclipse,Rob Thomas,False,Certified-Fresh,Fresh,2010,"For the most part, this love triangle plays out with great warmth and delicacy.While Quinn seems to be having a ball playing against type as the boozy Nicholas, Hinds and Hjelje create fully-rounded, sympathetic characters.",male,"['Art House & International', 'Drama', 'Horror', 'Romance']","{'neg': 0.0, 'neu': 0.555, 'pos': 0.445, 'compound': 0.9667}",0.9667
m/after_midnight_2020,After Midnight (Something Else),Matt Donato,False,Fresh,Fresh,2019,"Something Else promises monsters but delivers more demons of the human experience variety, as this sweet and sincere creature feature is far more romantically heartfelt than expected.",male,['Horror'],"{'neg': 0.0, 'neu': 0.531, 'pos': 0.469, 'compound': 0.9657}",0.9657
m/bad_milo,Bad Milo!,Matt Pais,False,Fresh,Fresh,2013,"Should entertain a certain pocket of comedy fans, particularly those happy for the rare chance to see the excellent Marino play a nice guy.",male,"['Comedy', 'Drama', 'Horror']","{'neg': 0.0, 'neu': 0.391, 'pos': 0.609, 'compound': 0.9627}",0.9627
m/blood_quantum,Blood Quantum,Joey Keogh,False,Certified-Fresh,Fresh,2020,"Politically motivated but never preachy, loaded with enough blood, guts, and intestines to satisfy the thirstiest gore-hounds. ...A zombie movie for the ages that honors the grandest traditions of the genre while remaining true to its own unique essence.",male,['Horror'],"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.9625}",0.9625
m/1208173-splice,Splice,Matthew Turner,False,Certified-Fresh,Fresh,2010,"Hugely entertaining, superbly written sci-fi thriller that manages to be simultaneously scary, moving and darkly funny, thanks to strong direction, great special effects and terrific performances from its three leads.",male,"['Horror', 'Science Fiction & Fantasy']","{'neg': 0.067, 'neu': 0.439, 'pos': 0.494, 'compound': 0.9606}",0.9606
m/1118216-femme_fatale,Femme Fatale,Manohla Dargis,True,Rotten,Fresh,2002,"The film has the high-buffed gloss and high-octane jolts you expect of De Palma, but what makes it transporting is that it's also one of the smartest, most pleasurable expressions of pure movie love to come from an American director in years.",unknown,"['Drama', 'Horror', 'Mystery & Suspense']","{'neg': 0.0, 'neu': 0.705, 'pos': 0.295, 'compound': 0.9603}",0.9603
