rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/a_secret_love,A Secret Love,Alexandra MacAaron,False,Certified-Fresh,Fresh,2020,"There is nothing but respect and genuine affection here. If anything, the film evokes a sense of admiration and wonder for any couple that can maintain the love and sense of sheer joy for and about each other.",female,"['Documentary', 'Gay & Lesbian']","{'neg': 0.06, 'neu': 0.575, 'pos': 0.365, 'compound': 0.9639}",0.9639
m/big_eden,Big Eden,John Leonard,True,Fresh,Fresh,2018,"What's subversive about it is that it looks just like any other romantic comedy except that some men love other men. Imagine that: social justice, racial harmony, peaceable kingdoms, and a cup of cappuccino at the general store.",male,"['Comedy', 'Drama', 'Romance', 'Gay & Lesbian']","{'neg': 0.037, 'neu': 0.562, 'pos': 0.401, 'compound': 0.9571}",0.9571
m/big_eden,Big Eden,Joe Baltake,False,Fresh,Fresh,2001,"Personally, I found it irresistible -- not great, but definitely irresistible -- and I certainly enjoyed the company of these caring, enlightened people.",male,"['Comedy', 'Drama', 'Romance', 'Gay & Lesbian']","{'neg': 0.129, 'neu': 0.333, 'pos': 0.537, 'compound': 0.951}",0.951
m/1187621-itty_bitty_titty_committee,Itty Bitty Titty Committee,Ernest Hardy,False,Rotten,Fresh,2007,"Writer-director Jamie Babbit's follow-up to But I'm a Cheerleader, while flawed and in need of at least one more script overhaul, is smarter, funnier and more accomplished than its predecessor.",male,"['Comedy', 'Gay & Lesbian']","{'neg': 0.0, 'neu': 0.638, 'pos': 0.362, 'compound': 0.9348}",0.9348
m/big_eden,Big Eden,Frederic and Mary Ann Brussat,False,Fresh,Fresh,2001,A heart-affecting gay romantic drama that unabashedly celebrates community as the ideal milieu for bringing out the best in people.,male,"['Comedy', 'Drama', 'Romance', 'Gay & Lesbian']","{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.9325}",0.9325
m/big_gay_musical,The Big Gay Musical,Avi Offer,False,Fresh,Fresh,2009,"Thoroughly engaging, funny, smart and heartfelt without any dull or contrived moments.",male,"['Comedy', 'Musical & Performing Arts', 'Gay & Lesbian']","{'neg': 0.0, 'neu': 0.324, 'pos': 0.676, 'compound': 0.9273}",0.9273
m/a_secret_love,A Secret Love,Brian Lowry,True,Certified-Fresh,Fresh,2020,"A Secret Love stands out by being sweetly understated, at a time when that's especially welcome. It's a deeply felt testament to both the strength of this couple's bond, and the fragility and hard choices that often come at the end of a lifetime.",male,"['Documentary', 'Gay & Lesbian']","{'neg': 0.028, 'neu': 0.697, 'pos': 0.275, 'compound': 0.9245}",0.9245
m/a_secret_love,A Secret Love,Pat Mullen,False,Certified-Fresh,Fresh,2020,A Secret Love is a refreshingly intimate and sweet romance. Bolan's film is also a welcome celebration of marriage equality that is hard fought and well deserved.,andy,"['Documentary', 'Gay & Lesbian']","{'neg': 0.101, 'neu': 0.464, 'pos': 0.434, 'compound': 0.9217}",0.9217
m/big_eden,Big Eden,Kevin Thomas,True,Fresh,Fresh,2001,"An accomplished heart-tugger, a serious romantic comedy that tackles two dilemmas with honesty and compassion.",male,"['Comedy', 'Drama', 'Romance', 'Gay & Lesbian']","{'neg': 0.055, 'neu': 0.339, 'pos': 0.606, 'compound': 0.9186}",0.9186
m/a_secret_love,A Secret Love,Lauren Bradshaw,False,Certified-Fresh,Fresh,2020,"A Secret Love beautifully shows that despite society's homophobia that made Pat and Terry feel they had to hide their 70+ year relationship, love ultimately prevailed.",mostly_female,"['Documentary', 'Gay & Lesbian']","{'neg': 0.049, 'neu': 0.603, 'pos': 0.348, 'compound': 0.9081}",0.9081
