review_year,compound_score,genre,num_reviews
2000,0.13117128412537918,action,2967
2001,0.11587014624306606,action,1983
2002,0.1394633540372671,action,2898
2003,0.11186494299674267,action,2456
2004,0.09691702564102564,action,2925
2005,0.1444273640167364,action,2390
2006,0.17861855969067184,action,2069
2007,0.17580819221967964,action,2185
2008,0.19111454128440367,action,2180
2009,0.18362646892655365,action,3540
2010,0.15119516317016315,action,3432
2011,0.16589386428281186,action,2461
2012,0.19477009084556254,action,1431
2013,0.09944227916385705,action,1483
2014,0.17335135275754424,action,1922
2015,0.15779863636363636,action,2420
2016,0.18900347786811203,action,2214
2017,0.1689668378576669,action,2726
2018,0.2687753383043358,action,3621
2019,0.3061991174987393,action,3966
2020,0.21629065498539843,action,2397
