review_year,compound_score,genre,num_reviews
2000,0.255635641025641,animation,390
2001,0.25774600000000003,animation,150
2002,0.2028788617886179,animation,246
2003,0.2435795238095238,animation,210
2004,0.20212985074626866,animation,67
2005,0.25095849056603775,animation,106
2006,0.3129330827067669,animation,798
2007,0.22058006430868166,animation,622
2008,0.33238066666666666,animation,450
2009,0.3294215859030837,animation,1362
2010,0.33128689655172416,animation,580
2011,0.32939969183359014,animation,649
2012,0.4188928571428571,animation,420
2013,0.284261320754717,animation,106
2014,0.47667744360902253,animation,266
2015,0.2968430493273542,animation,223
2016,0.20737705382436258,animation,353
2017,0.36513673469387753,animation,392
2018,0.3885872340425532,animation,235
2019,0.4285333333333333,animation,402
2020,0.44304901960784315,animation,153
