review_year,compound_score,genre,num_reviews
2000,0.30798009554140127,classics,628
2001,0.277666935483871,classics,248
2002,0.3158513731825525,classics,619
2003,0.2597822416302766,classics,687
2004,0.21473112840466926,classics,771
2005,0.23478969957081544,classics,699
2006,0.2321920792079208,classics,909
2007,0.23912749077490775,classics,542
2008,0.24721316725978648,classics,843
2009,0.2553479318734793,classics,411
2010,0.22622777777777778,classics,450
2011,0.2740830721003135,classics,319
2012,0.25000702479338843,classics,242
2013,0.24004941634241245,classics,257
2014,0.25927747440273036,classics,293
2015,0.2614951111111111,classics,225
2016,0.21943749999999998,classics,336
2017,0.24924957983193277,classics,119
2018,0.2481491002570694,classics,389
2019,0.30133043478260874,classics,644
2020,0.26546165517241377,classics,725
