review_year,compound_score,genre,num_reviews
2000,0.2578873433077234,comedy,4946
2001,0.2515212847965739,comedy,2335
2002,0.24090327594452415,comedy,4182
2003,0.22576726380891446,comedy,4689
2004,0.24503302675585284,comedy,3588
2005,0.2691870423266684,comedy,3851
2006,0.27200847319978344,comedy,3694
2007,0.2344206324520477,comedy,3858
2008,0.2713617697107204,comedy,5289
2009,0.2687275531914894,comedy,6580
2010,0.24927963315864696,comedy,4198
2011,0.2630463736939152,comedy,3254
2012,0.2864513029315961,comedy,2456
2013,0.2592767441860465,comedy,2107
2014,0.2390635306192268,comedy,2923
2015,0.2740732334047109,comedy,1868
2016,0.2898871748060246,comedy,2191
2017,0.25654130434782607,comedy,2530
2018,0.29665304951690824,comedy,3312
2019,0.33591772494733674,comedy,3323
2020,0.2888876001687052,comedy,2371
