review_year,compound_score,genre,num_reviews
2000,0.04244719101123596,cult,89
2001,0.06641304347826087,cult,23
2002,0.1034125,cult,32
2003,0.110309375,cult,32
2004,0.21358928571428573,cult,28
2005,0.06614,cult,25
2006,0.33491428571428566,cult,14
2007,0.08608333333333333,cult,24
2008,0.09612272727272728,cult,22
2009,-0.01112307692307692,cult,13
2010,0.047486956521739135,cult,69
2011,0.0450125,cult,16
2012,0.32482222222222223,cult,9
2013,0.03713571428571428,cult,14
2014,0.2674125,cult,8
2015,-0.031950000000000006,cult,8
2016,0.5629,cult,4
2017,-0.34909999999999997,cult,2
2018,0.09883793103448275,cult,29
2019,0.08071249999999999,cult,16
2020,-0.013603703703703693,cult,27
