review_year,compound_score,genre,num_reviews
2000,0.26035181119648737,family,911
2001,0.26289003021148033,family,331
2002,0.2541046762589928,family,556
2003,0.2400421856639248,family,851
2004,0.14966812144212524,family,527
2005,0.26653514689880303,family,919
2006,0.32165583972719525,family,1173
2007,0.24014860335195531,family,716
2008,0.29007257383966245,family,474
2009,0.3024558845299778,family,1351
2010,0.2256988299531981,family,1282
2011,0.3183739687055477,family,703
2012,0.40856286353467564,family,447
2013,0.37627328767123286,family,146
2014,0.36140206766917293,family,532
2015,0.3266915,family,200
2016,0.18414777517564404,family,427
2017,0.2840827751196172,family,418
2018,0.3017433043478261,family,575
2019,0.3249160447761194,family,804
2020,0.2850963963963964,family,222
