review_year,compound_score,genre,num_reviews
2000,0.1865946308724832,fitness,149
2001,0.3166272727272727,fitness,11
2002,0.2908857142857143,fitness,42
2003,0.3490413793103448,fitness,29
2004,0.20629999999999998,fitness,11
2005,0.2909136904761905,fitness,168
2006,0.3100514423076923,fitness,416
2007,0.3377809523809524,fitness,21
2008,0.37218,fitness,40
2009,0.27775795206971676,fitness,459
2010,0.26703247863247864,fitness,117
2011,0.2781565217391304,fitness,23
2012,0.22320925925925927,fitness,54
2013,0.338264,fitness,25
2014,0.38473999999999997,fitness,40
2015,0.36568181818181816,fitness,11
2016,0.25412,fitness,120
2017,0.29488345588235293,fitness,272
2018,0.30733170731707316,fitness,82
2019,0.35648529411764707,fitness,68
2020,0.2134875,fitness,40
