review_year,compound_score,genre,num_reviews
2000,0.09935412335412334,mystery,2886
2001,0.07856896329684482,mystery,1553
2002,0.11444620253164557,mystery,2844
2003,0.09070274117026884,mystery,1897
2004,0.10119327303561333,mystery,1769
2005,0.08583518018018019,mystery,2220
2006,0.09333066723695466,mystery,2338
2007,0.07590170375521557,mystery,2876
2008,0.0562045584045584,mystery,3510
2009,0.09215377643504531,mystery,4634
2010,0.09297383257403188,mystery,3512
2011,0.10654708383961117,mystery,1646
2012,0.1509409315455187,mystery,1417
2013,0.08858058717795088,mystery,1669
2014,0.054822867972204675,mystery,1583
2015,0.22195549597855227,mystery,1492
2016,0.21510409153952842,mystery,1442
2017,0.11158037068239259,mystery,2374
2018,0.15890387333898784,mystery,3537
2019,0.14100827535701208,mystery,2731
2020,0.08955527332965212,mystery,1811
