review_year,compound_score,genre,num_reviews
2000,0.24009894675248683,romance,1709
2001,0.2519578575632725,romance,1699
2002,0.28776180602006685,romance,1495
2003,0.2779837442218798,romance,1298
2004,0.30329742198100407,romance,1474
2005,0.264075875,romance,1600
2006,0.21331875532821826,romance,1173
2007,0.2836765120375807,romance,1703
2008,0.31150593368237345,romance,1719
2009,0.3166117988394584,romance,2068
2010,0.22052887096774193,romance,1860
2011,0.24937764578833693,romance,926
2012,0.2766341463414634,romance,779
2013,0.31654886363636364,romance,880
2014,0.2707818297331639,romance,787
2015,0.2914729341317365,romance,835
2016,0.37577736263736267,romance,910
2017,0.385790830449827,romance,1156
2018,0.30464104104104106,romance,999
2019,0.33803237762237764,romance,1430
2020,0.3318021491782554,romance,791
