review_year,compound_score,genre,num_reviews
2000,0.23890555555555557,western,72
2001,0.10477419354838712,western,155
2002,0.22300140845070424,western,71
2003,0.18494719626168224,western,214
2004,0.1047008032128514,western,249
2005,0.23379714285714287,western,70
2006,0.14359565217391307,western,69
2007,0.22848265582655827,western,369
2008,0.24936473214285715,western,224
2009,0.26712790697674416,western,43
2010,0.0867625,western,32
2011,0.17087878787878788,western,165
2012,0.21101351351351352,western,37
2013,0.21200000000000002,western,47
2014,0.08705235849056604,western,212
2015,0.10187123287671232,western,73
2016,0.211269696969697,western,66
2017,-0.07037435897435897,western,78
2018,0.1593515625,western,64
2019,0.18743253012048194,western,83
2020,0.24767037037037037,western,81
