rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list
m/1000334-adventures_of_mark_twain,The Adventures of Mark Twain,Scott Weinberg,False,Fresh,Fresh,2006,There's more than enough weird and wise material to keep you entertained -- especially if you're an animation buff or a Samuel Clemens aficionado.,male,"['Action & Adventure', 'Animation', 'Kids & Family']"
m/1000334-adventures_of_mark_twain,The Adventures of Mark Twain,Brian Costello,False,Fresh,Fresh,2013,Dry humor and scary scenes abound in Twain overview.,male,"['Action & Adventure', 'Animation', 'Kids & Family']"
m/1000334-adventures_of_mark_twain,The Adventures of Mark Twain,Vincent Canby,True,Fresh,Rotten,2019,"Everything looks soft, squashy and sort of ugly.",male,"['Action & Adventure', 'Animation', 'Kids & Family']"
m/1000334-adventures_of_mark_twain,The Adventures of Mark Twain,Craig Skinner,False,Fresh,Fresh,2019,Such a wonderfully entertaining and rather charming film.,male,"['Action & Adventure', 'Animation', 'Kids & Family']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Ed Gonzalez,False,Rotten,Fresh,2006,Luc Besson's Arthur and the Invisibles clears the smog left behind by the year's dubious family entertainments.,male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Robert Koehler,True,Rotten,Rotten,2006,The bucolic wonder buried in Luc Besson's Arthur and the Invisibles has been snuffed out by this alienating and dislikable animated film. As overproduced and acrid as The Messenger: The Story of Joan of Arc and The Fifth Element.,male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Kirk Honeycutt,True,Rotten,Rotten,2006,Besson drags things out considerably for his young audience at 122 minutes. The CG work is clever but cannot measure up to Pixar's standards in cleverness or imagination. Nothing is fresh here.,male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Jean Oppenheimer,False,Rotten,Rotten,2006,"[Actor Freddie] Highmore is sweetly exuberant, but the voice talent is uneven, and the only really clever bits find the CGI characters navigating real live foliage.",male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Andy Klein,False,Rotten,Rotten,2006,Arthur's frequent returns to reality break the mood and seem to serve little narrative purpose besides beefing up Farrow's role.,male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Jim Hemphill,False,Rotten,Rotten,2006,"The routine story and lack of real warmth make this a movie to endure with one's children, not to share with them.",male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Alex Chun,True,Rotten,Rotten,2006,"Director Luc Besson admits he knew nothing about animation before he started this project, and it shows.",male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Boyd van Hoeij,False,Rotten,Fresh,2007,"Admirably blends animation and live-action and has a lot on offer for kids, though adults will probably yawn more than once at the predictable twists and turns of the plot.",male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Rich Cline,False,Rotten,Rotten,2007,"Several parts of the narrative don't gel, feeling designed simply to look cool or sound funny.",mostly_male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Urban Cinefile Critics,False,Rotten,Rotten,2007,"Somewhere between cute and weird, Arthur and the Invisibles tries to be too many things in a frantic bid to be uber-creative, young, hip and relevant, expecting its technological prowess to be heartwarming and impressive.",male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Robin Clifford,False,Rotten,Rotten,2007,...a cute and sassy little fantasy film that borrows from many sources (oft times forgoing originality for familiarity).,mostly_male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Joseph Proimakis,False,Rotten,Rotten,2007,full review in Greek,male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Jean Oppenheimer,True,Rotten,Fresh,2007,"Predictable and overly busy, this sci-fi adventure should nonetheless appeal to game-savvy tots, especially those familiar with the source material.",male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),David Nusair,False,Rotten,Rotten,2007,...there's exceedingly little here to hold the interest of even the most patient adult.,male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Willie Waffle,False,Rotten,Rotten,2007,"Starts off as an innocent, wholesome family adventure, but, when it becomes animated, Arthur is on the path to throwing back drinks in da club with Snoop Dogg and his posse.",mostly_male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Jim Lane,False,Rotten,Fresh,2007,"The story isn't terribly original, but Besson gives it a fuel-injected energy...",male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Josh Larsen,False,Rotten,Rotten,2007,Besson ... even dresses up the main female character in the sort of action-babe getup assigned to Milla Jovovich in his own The Fifth Element.,male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Matt Stevens,False,Rotten,Rotten,2007,"The film touts its 'dazzling' hybrid of live action and 'groundbreaking' CGI, but the visuals can't compare to Happy Feet or any Pixar release.",male,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Nell Minow,False,Rotten,Rotten,2007,The underground adventures are an unfortunate mixture of po-mo snark and potty humor (some just plain pot humor as well).,female,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),Monica A. Reyhani,False,Rotten,Fresh,2007,"Ultimately, Besson has made an interesting, if shaky in places, homage to childhood.",female,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
