rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),Urban Cinefile Critics,False,Certified-Fresh,Fresh,2000,"A film with texture, humour and relevance at all times. All in 91 minutes.",male,"['Classics', 'Drama']"
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),Steve Rhodes,False,Certified-Fresh,Fresh,2000,"In a time of bloated when special effects have become the real stars, going back to a classic like this can remind viewers what movie making is supposed to be about -- acting.",male,"['Classics', 'Drama']"
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),Dragan Antulov,False,Certified-Fresh,Fresh,2000,Completely deserved its high status of undisputed classic.,male,"['Classics', 'Drama']"
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),Ian Nathan,False,Certified-Fresh,Fresh,2001,"Thoroughly engaging, there is nothing dated or corny in Reginald Rose's intensely knowing screenplay and Lumet's energetic direction.",male,"['Classics', 'Drama']"
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),Brian Webster,False,Certified-Fresh,Fresh,2001,"While the composition of juries might change over time, the issues and attitudes that are explored here are timeless, as is this classic film.",male,"['Classics', 'Drama']"
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),Tim Dirks,False,Certified-Fresh,Fresh,2002,"12 Angry Men (1957) is the gripping, penetrating, and engrossing examination of a diverse group of twelve jurors - all male, mostly middle-aged, white, and",male,"['Classics', 'Drama']"
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),John A. Nesbit,False,Certified-Fresh,Fresh,2002,"12 Angry Men ranks as the tautest courtroom drama you'll ever see, surpassing Lumet's very good 1982 drama, The Verdict.",male,"['Classics', 'Drama']"
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),Scott Weinberg,False,Certified-Fresh,Fresh,2002,Pure dynamite in movie form.,male,"['Classics', 'Drama']"
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),Roger Ebert,True,Certified-Fresh,Fresh,2002,"This is a film where tension comes from personality conflict, dialogue and body language, not action.",male,"['Classics', 'Drama']"
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),Dan Lybarger,False,Certified-Fresh,Fresh,2002,Sidney Lumet's debut feels a bit stagy but is never short on tension.,male,"['Classics', 'Drama']"
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),Ian Mantgani,False,Certified-Fresh,Fresh,2003,"An intense concentration of power, and my all-time favourite film.",male,"['Classics', 'Drama']"
