rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list
m/1187621-itty_bitty_titty_committee,Itty Bitty Titty Committee,Leslie Felperin,True,Rotten,Rotten,2007,"Great title, shame about the movie.",mostly_female,"['Comedy', 'Gay & Lesbian']"
m/1187621-itty_bitty_titty_committee,Itty Bitty Titty Committee,Rich Cline,False,Rotten,Fresh,2007,"While the film is engaging, it feels unwilling to really push its themes into provocative territory.",mostly_male,"['Comedy', 'Gay & Lesbian']"
m/1187621-itty_bitty_titty_committee,Itty Bitty Titty Committee,Ernest Hardy,False,Rotten,Fresh,2007,"Writer-director Jamie Babbit's follow-up to But I'm a Cheerleader, while flawed and in need of at least one more script overhaul, is smarter, funnier and more accomplished than its predecessor.",male,"['Comedy', 'Gay & Lesbian']"
m/1187621-itty_bitty_titty_committee,Itty Bitty Titty Committee,Maitland McDonagh,False,Rotten,Rotten,2007,The film's sense of humor is juvenile...,unknown,"['Comedy', 'Gay & Lesbian']"
m/1187621-itty_bitty_titty_committee,Itty Bitty Titty Committee,Andy Klein,False,Rotten,Rotten,2007,The characters are not complex or memorable enough to linger in the mind much past the closing credits.,male,"['Comedy', 'Gay & Lesbian']"
m/1187621-itty_bitty_titty_committee,Itty Bitty Titty Committee,Jay Antani,False,Rotten,Rotten,2007,"trades in platitudes and cliches, for lack of anything distinctive or bold to say",male,"['Comedy', 'Gay & Lesbian']"
m/1187621-itty_bitty_titty_committee,Itty Bitty Titty Committee,Mike McGranaghan,False,Rotten,Rotten,2008,"After 75 minutes of carefully establishing the characters and situations, the film comes up with the single most preposterous ending I've ever witnessed in a motion picture, undermining everything that's come before.",male,"['Comedy', 'Gay & Lesbian']"
m/1213734-ghosted,Ghosted,Jim Slotek,False,Rotten,Rotten,2009,"Feels like an overwritten fringe festival play, performed outdoors, with a single camera recording it for posterity.",male,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/1213734-ghosted,Ghosted,Steve Ramos,False,Rotten,Rotten,2009,"While longtime Treut admirers may miss the gender politics, explicit sex and lesbian SM content of her best known films, the romantic and lush Ghosted offers First Run a good shot at a wider specialty audience.",male,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/1213734-ghosted,Ghosted,Joseph Jon Lanthier,False,Rotten,Rotten,2009,A clumsily supernatural mystery that strangely uses the fallible density of flesh as its most underscored symbol.,male,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/1213734-ghosted,Ghosted,Bryant Frazer,False,Rotten,Rotten,2009,A blandly romantic drama with just the whiff of the otherworldly about it.,male,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/1213734-ghosted,Ghosted,David Fear,True,Rotten,Rotten,2009,"Monika Treut (Female Misbehavior) has made a fruitful career out of documenting nonfiction gender studies and LGBT anthropology, but her attempt at exploring such issues in a narrative context is clunky to a fault.",male,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/1213734-ghosted,Ghosted,Frank Scheck,True,Rotten,Rotten,2009,Lesbian and supernatural themes combined to less-than-stellar effect.,male,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/1213734-ghosted,Ghosted,Vadim Rizov,True,Rotten,Rotten,2009,"Flat visuals, flat script, flat performances: Ghosted is only mildly redeemed by the on-the-ground travelogue footage of Taipei and Hamburg, and I'm being generous.",male,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/1213734-ghosted,Ghosted,Lou Lumenick,True,Rotten,Rotten,2009,"Clumsily written, mostly in English, with performances to match, the only real mystery surrounding Ghosted is how this soporific bore got made.",mostly_male,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/1213734-ghosted,Ghosted,Nathan Lee,True,Rotten,Rotten,2009,An elegant but unsatisfying drama of cross-cultural lesbian love triangles.,male,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/1213734-ghosted,Ghosted,Avi Offer,False,Rotten,Rotten,2009,"Initially intriguing, but tepid romantic drama suffering from an uneven screenplay with stilted dialogue and a distracting, gimmicky ghost story.",male,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/1213734-ghosted,Ghosted,Kam Williams,False,Rotten,Fresh,2009,A compelling crime saga with supernatural overtones made all the more worthwhile by some spectacular Taipei locales and its celebration of Chinese culture.,male,"['Art House & International', 'Mystery & Suspense', 'Gay & Lesbian']"
m/a_four_letter_word,A Four Letter Word,Tirdad Derakhshani,True,Rotten,Fresh,2007,"[Director] Andreas rescues A Four Letter Word from being merely a raunchy lil' romance by showing how his characters are steeped in a culture of therapy that has filled Americans with endless, compulsive self-analysis and self-doubt.",unknown,"['Comedy', 'Romance', 'Gay & Lesbian']"
m/a_four_letter_word,A Four Letter Word,Dennis Harvey,True,Rotten,Rotten,2007,"The semi-earnest A Four Letter Word comes off like an insular gay sitcom, a la Paul Rudnick's Jeffrey, but without the honed verbal wit.",male,"['Comedy', 'Romance', 'Gay & Lesbian']"
m/a_four_letter_word,A Four Letter Word,Bill Weber,False,Rotten,Rotten,2008,How dismally arch and self-satisfied can a Chelseacore sex comedy get?,male,"['Comedy', 'Romance', 'Gay & Lesbian']"
m/a_four_letter_word,A Four Letter Word,David Noh,False,Rotten,Fresh,2008,There is no denying that Andreas is really trying to say something about the difficulty of real intimacy in a society where easy sex lies in wait on every corner of Manhattan.,male,"['Comedy', 'Romance', 'Gay & Lesbian']"
m/a_four_letter_word,A Four Letter Word,Ken Fox,False,Rotten,Fresh,2008,"Lots of four-letter words get tossed around in Caspar Andreas' naughty sequel to his cheekily titled Slutty Summer, but the scariest one of all is the L word: love.",male,"['Comedy', 'Romance', 'Gay & Lesbian']"
m/a_four_letter_word,A Four Letter Word,Jeannette Catsoulis,True,Rotten,Fresh,2008,A Four Letter Word is a surprisingly endearing romantic comedy that explores gay relationships with low-budget verve.,female,"['Comedy', 'Romance', 'Gay & Lesbian']"
m/a_four_letter_word,A Four Letter Word,Tim Cogshell,False,Rotten,Fresh,2008,"It's always a treat when a movie seems to be exactly the movie that the filmmakers intended to make, and their audience wants to see. It's also a treat when it's a good movie, too.",male,"['Comedy', 'Romance', 'Gay & Lesbian']"
m/a_four_letter_word,A Four Letter Word,Tom Russo,True,Rotten,Rotten,2008,"The film also serves up latte-frothy glimpses of an all-drag bridal shower, an erotic spinning class, and - all of 90 seconds into the proceedings -- naked yoga. Don't forget to bring your wipe-down towel.",male,"['Comedy', 'Romance', 'Gay & Lesbian']"
m/a_four_letter_word,A Four Letter Word,Hank Stuever,True,Rotten,Fresh,2008,"The cliches of bad gay filmmaking were lampooned in 2006's Another Gay Movie. Well, here's another gay movie. Things haven't moved an inch.",male,"['Comedy', 'Romance', 'Gay & Lesbian']"
m/a_four_letter_word,A Four Letter Word,Phil Villarreal,False,Rotten,Fresh,2008,"A gay romantic comedy, witty and charming enough to stand up to any boy-meets-girl date flick in the megaplexes.",male,"['Comedy', 'Romance', 'Gay & Lesbian']"
m/a_four_letter_word,A Four Letter Word,Maureen M. Hart,True,Rotten,Rotten,2008,"Archer's acting is overly arch, but Cory Grant is quite effective as Zeke.",female,"['Comedy', 'Romance', 'Gay & Lesbian']"
m/a_four_letter_word,A Four Letter Word,Sarah Boslaugh,False,Rotten,Fresh,2008,...explores gay life in New York primarily through the eyes of Luke ... who is so busy trying to sparkle that he's made himself into the perfect gay clich.,female,"['Comedy', 'Romance', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Carla Renata,False,Certified-Fresh,Fresh,2020,An incredible love story.,female,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Christian Gallichio,False,Certified-Fresh,Fresh,2020,A Secret Love is profound.,male,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Catherine Springer,False,Certified-Fresh,Fresh,2020,"A Secret Love still manages to tug at every single heartstring. Pat and Terry had a legitimate love story, one for the ages, and it's one we all should experience, in all its tenderness and fortitude.",female,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Guy Lodge,True,Certified-Fresh,Fresh,2020,"At once a misty-eyed romance and a harsh depiction of the practical and emotional challenges of giving up independent living, ""A Secret Love"" isn't subtle in its Kleenex-clutching tactics... but it's certainly effective.",male,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Christopher Llewellyn Reed,False,Certified-Fresh,Fresh,2020,It's a beautiful thing.,male,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Steve Pond,True,Certified-Fresh,Fresh,2020,"Affecting at times and downright tear-jerking at others, their story is tied to the saga of gay life in America over the past 70-+ years.",male,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Mick LaSalle,True,Certified-Fresh,Fresh,2020,Everyone who sees this film will have their own favorite moments.,male,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Liam Lacey,False,Certified-Fresh,Fresh,2020,"Like any great romance, A Secret Love is made more piquant by the personality differences between the two women. But they connect with a powerful bond.",male,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Brian Lowry,True,Certified-Fresh,Fresh,2020,"A Secret Love stands out by being sweetly understated, at a time when that's especially welcome. It's a deeply felt testament to both the strength of this couple's bond, and the fragility and hard choices that often come at the end of a lifetime.",male,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Tomris Laffly,True,Certified-Fresh,Fresh,2020,"There is no crying in baseball, but you might just be reduced to a puddle of tears while watching Bolan's film, which finally brings the duo's love out of the shadows and gives it a long-overdue chance to shine freely.",unknown,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Cath Clarke,True,Certified-Fresh,Fresh,2020,"""There's no crying in baseball!"" Tom Hanks's grumpy coach said in A League of Their Own, but I was bawling my eyes out watching this film.",female,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Robyn Bahr,True,Certified-Fresh,Fresh,2020,"Tender without being cloying, naturalistic without seeming contrived, A Secret Love may be the ideal antidote to your least-favorite queer tropes.",female,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Natalia Winkelman,True,Certified-Fresh,Fresh,2020,"It is a compliment that ""A Secret Love,"" which runs under an hour and a half, could stand to be longer, with an expanded portrait of Terry and Pat's early life as a couple.",female,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Barbara Shulgasser,False,Certified-Fresh,Fresh,2020,Docu about women forced to hide relationship for 70 years.,female,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Stephanie Zacharek,True,Certified-Fresh,Fresh,2020,It's enraging that society made them feel they had to hide. But their happiness is the ultimate triumph.,female,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Andrea G. Bermejo,False,Certified-Fresh,Fresh,2020,The past in A Secret Love ends up being an anecdotal and colorful backdrop against Terry and [Pat]'s present plot. [Full review in Spanish],female,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Alci Rengifo,False,Certified-Fresh,Fresh,2020,"""A Secret Love,"" with its nostalgic tone flows like a recap of lives. To [Chris] Bolan's credit it's full of both admiration but honesty as well.",unknown,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,John Serba,False,Certified-Fresh,Fresh,2020,"If you want a universal treatise on the enduring nature of true love, this is it.",male,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Anna Menta,False,Certified-Fresh,Fresh,2020,"The film is a history lesson, a love story, and a family drama all wrapped up into an 82-minute documentary. And it is beautiful.",female,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Dennis Schwartz,False,Certified-Fresh,Fresh,2020,Fascinating bittersweet love story documentary on a lesbian relationship.,male,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Chris Knight,False,Certified-Fresh,Fresh,2020,"Amazing but wonderful, for despite feeling like interlopers, audiences will learn much about the family dynamic here...",mostly_male,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Elsa Fernández-Santos,False,Certified-Fresh,Fresh,2020,"Beyond the interesting social context, the value of Bolan's film is in the particularities of the story it tells. [Full Review in Spanish]",female,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Roger Moore,False,Certified-Fresh,Fresh,2020,"Bolan gets a very sweet film out of a story where we never doubt, for a second, a happy ending.",male,"['Documentary', 'Gay & Lesbian']"
m/a_secret_love,A Secret Love,Lael Loewenstein,False,Certified-Fresh,Fresh,2020,"This is such a good movie, not just because of its portrait of these two women who had a closeted love affair for so many years... There is [also] an extremely poignant part of the film which is just how difficult it is to deal with elder care.",unknown,"['Documentary', 'Gay & Lesbian']"
