review_year,compound_score,genre,num_reviews
2000,0.3079800955414012,classics,628
2001,0.277666935483871,classics,248
2002,0.3158513731825525,classics,619
2003,0.2597822416302766,classics,687
2004,0.2147311284046692,classics,771
2005,0.2347896995708154,classics,699
2006,0.2321920792079208,classics,909
2007,0.2391274907749077,classics,542
2008,0.2472131672597864,classics,843
2009,0.2553479318734793,classics,411
2010,0.2262277777777777,classics,450
2011,0.2740830721003135,classics,319
2012,0.2500070247933884,classics,242
2013,0.2400494163424124,classics,257
2014,0.2592774744027303,classics,293
2015,0.2614951111111111,classics,225
2016,0.2194374999999999,classics,336
2017,0.2492495798319327,classics,119
2018,0.2481491002570694,classics,389
2019,0.3013304347826087,classics,644
2020,0.2654616551724137,classics,725
2000,0.2389055555555555,western,72
2001,0.1047741935483871,western,155
2002,0.2230014084507042,western,71
2003,0.1849471962616822,western,214
2004,0.1047008032128514,western,249
2005,0.2337971428571428,western,70
2006,0.143595652173913,western,69
2007,0.2284826558265582,western,369
2008,0.2493647321428571,western,224
2009,0.2671279069767441,western,43
2010,0.0867625,western,32
2011,0.1708787878787878,western,165
2012,0.2110135135135135,western,37
2013,0.212,western,47
2014,0.087052358490566,western,212
2015,0.1018712328767123,western,73
2016,0.211269696969697,western,66
2017,-0.0703743589743589,western,78
2018,0.1593515625,western,64
2019,0.1874325301204819,western,83
2020,0.2476703703703703,western,81
2000,0.2578873433077234,comedy,4946
2001,0.2515212847965739,comedy,2335
2002,0.2409032759445241,comedy,4182
2003,0.2257672638089144,comedy,4689
2004,0.2450330267558528,comedy,3588
2005,0.2691870423266684,comedy,3851
2006,0.2720084731997834,comedy,3694
2007,0.2344206324520477,comedy,3858
2008,0.2713617697107204,comedy,5289
2009,0.2687275531914894,comedy,6580
2010,0.2492796331586469,comedy,4198
2011,0.2630463736939152,comedy,3254
2012,0.2864513029315961,comedy,2456
2013,0.2592767441860465,comedy,2107
2014,0.2390635306192268,comedy,2923
2015,0.2740732334047109,comedy,1868
2016,0.2898871748060246,comedy,2191
2017,0.256541304347826,comedy,2530
2018,0.2966530495169082,comedy,3312
2019,0.3359177249473367,comedy,3323
2020,0.2888876001687052,comedy,2371
2004,0.0,anime,1
2005,0.160272,anime,25
2006,0.7351,anime,1
2007,0.3764999999999999,anime,2
2009,0.38845,anime,2
2018,0.5631214285714286,anime,14
2019,0.2908666666666666,anime,3
2000,0.3187782608695652,television,23
2001,0.004828431372549,television,102
2002,0.2758166666666666,television,42
2003,0.2520071428571428,television,28
2004,0.2713035714285714,television,28
2005,0.1349865384615384,television,156
2006,0.1874928571428571,television,28
2007,0.2305854166666666,television,48
2008,0.2611285714285714,television,98
2009,0.2828057553956835,television,139
2010,0.2138027777777777,television,144
2011,0.3134673076923077,television,156
2012,0.3491876190476191,television,105
2013,0.4222762711864407,television,118
2014,0.0840199999999999,television,20
2015,0.3515589743589743,television,39
2016,0.36638,television,10
2017,0.2468571428571428,television,21
2018,0.3263974358974359,television,78
2019,0.3262148648648649,television,74
2020,0.2247725490196078,television,51
2000,0.0424471910112359,cult,89
2001,0.0664130434782608,cult,23
2002,0.1034125,cult,32
2003,0.110309375,cult,32
2004,0.2135892857142857,cult,28
2005,0.06614,cult,25
2006,0.3349142857142856,cult,14
2007,0.0860833333333333,cult,24
2008,0.0961227272727272,cult,22
2009,-0.0111230769230769,cult,13
2010,0.0474869565217391,cult,69
2011,0.0450125,cult,16
2012,0.3248222222222222,cult,9
2013,0.0371357142857142,cult,14
2014,0.2674125,cult,8
2015,-0.03195,cult,8
2016,0.5629,cult,4
2017,-0.3490999999999999,cult,2
2018,0.0988379310344827,cult,29
2019,0.0807124999999999,cult,16
2020,-0.0136037037037036,cult,27
2000,0.2627798387096774,musical,372
2001,0.2729491228070175,musical,171
2002,0.2371948943661971,musical,568
2003,0.3112905429071804,musical,571
2004,0.2296041292639138,musical,557
2005,0.2781411965811965,musical,585
2006,0.2245755747126436,musical,696
2007,0.2698369439071567,musical,517
2008,0.2764403269754768,musical,734
2009,0.3092253179190751,musical,865
2010,0.2863746300211416,musical,473
2011,0.3596508090614886,musical,309
2012,0.3566786956521739,musical,230
2013,0.3037465930018416,musical,543
2014,0.3054338181818181,musical,550
2015,0.236220673076923,musical,416
2016,0.3009260204081632,musical,196
2017,0.4237055427251732,musical,433
2018,0.3306968674698795,musical,415
2019,0.2877491869918699,musical,738
2020,0.2410065384615384,musical,260
2000,0.2603518111964873,family,911
2001,0.2628900302114803,family,331
2002,0.2541046762589928,family,556
2003,0.2400421856639248,family,851
2004,0.1496681214421252,family,527
2005,0.266535146898803,family,919
2006,0.3216558397271952,family,1173
2007,0.2401486033519553,family,716
2008,0.2900725738396624,family,474
2009,0.3024558845299778,family,1351
2010,0.2256988299531981,family,1282
2011,0.3183739687055477,family,703
2012,0.4085628635346756,family,447
2013,0.3762732876712328,family,146
2014,0.3614020676691729,family,532
2015,0.3266915,family,200
2016,0.184147775175644,family,427
2017,0.2840827751196172,family,418
2018,0.3017433043478261,family,575
2019,0.3249160447761194,family,804
2020,0.2850963963963964,family,222
2000,0.1865946308724832,fitness,149
2001,0.3166272727272727,fitness,11
2002,0.2908857142857143,fitness,42
2003,0.3490413793103448,fitness,29
2004,0.2062999999999999,fitness,11
2005,0.2909136904761905,fitness,168
2006,0.3100514423076923,fitness,416
2007,0.3377809523809524,fitness,21
2008,0.37218,fitness,40
2009,0.2777579520697167,fitness,459
2010,0.2670324786324786,fitness,117
2011,0.2781565217391304,fitness,23
2012,0.2232092592592592,fitness,54
2013,0.338264,fitness,25
2014,0.3847399999999999,fitness,40
2015,0.3656818181818181,fitness,11
2016,0.25412,fitness,120
2017,0.2948834558823529,fitness,272
2018,0.3073317073170731,fitness,82
2019,0.356485294117647,fitness,68
2020,0.2134875,fitness,40
2000,0.255635641025641,animation,390
2001,0.257746,animation,150
2002,0.2028788617886179,animation,246
2003,0.2435795238095238,animation,210
2004,0.2021298507462686,animation,67
2005,0.2509584905660377,animation,106
2006,0.3129330827067669,animation,798
2007,0.2205800643086816,animation,622
2008,0.3323806666666666,animation,450
2009,0.3294215859030837,animation,1362
2010,0.3312868965517241,animation,580
2011,0.3293996918335901,animation,649
2012,0.4188928571428571,animation,420
2013,0.284261320754717,animation,106
2014,0.4766774436090225,animation,266
2015,0.2968430493273542,animation,223
2016,0.2073770538243625,animation,353
2017,0.3651367346938775,animation,392
2018,0.3885872340425532,animation,235
2019,0.4285333333333333,animation,402
2020,0.4430490196078431,animation,153
2000,0.0269315666406858,horror,1283
2001,0.0310382271468144,horror,361
2002,0.0454308353808353,horror,814
2003,0.0210869461077844,horror,835
2004,0.0606309392265193,horror,724
2005,-0.0342032520325203,horror,1107
2006,0.0365896894409937,horror,805
2007,-0.0003906249999999,horror,1152
2008,-0.0443340635268346,horror,913
2009,-0.0346951959544879,horror,1582
2010,0.046445159194282,horror,1539
2011,-0.013568909512761,horror,431
2012,0.0394726591760299,horror,534
2013,0.0166915274463007,horror,838
2014,0.0145600700525394,horror,571
2015,0.0605207637231503,horror,419
2016,-0.0462821487603305,horror,605
2017,0.0411782881002087,horror,479
2018,0.0820791457286432,horror,1194
2019,0.058790622406639,horror,1205
2020,0.0332172953081876,horror,1087
2000,0.2400989467524868,romance,1709
2001,0.2519578575632725,romance,1699
2002,0.2877618060200668,romance,1495
2003,0.2779837442218798,romance,1298
2004,0.303297421981004,romance,1474
2005,0.264075875,romance,1600
2006,0.2133187553282182,romance,1173
2007,0.2836765120375807,romance,1703
2008,0.3115059336823734,romance,1719
2009,0.3166117988394584,romance,2068
2010,0.2205288709677419,romance,1860
2011,0.2493776457883369,romance,926
2012,0.2766341463414634,romance,779
2013,0.3165488636363636,romance,880
2014,0.2707818297331639,romance,787
2015,0.2914729341317365,romance,835
2016,0.3757773626373626,romance,910
2017,0.385790830449827,romance,1156
2018,0.304641041041041,romance,999
2019,0.3380323776223776,romance,1430
2020,0.3318021491782554,romance,791
2000,0.1877306196840826,scifi,1646
2001,0.1844519075144508,scifi,865
2002,0.1588729068673565,scifi,1063
2003,0.1554226923076923,scifi,1040
2004,0.1299638554216867,scifi,664
2005,0.1912983541803818,scifi,1519
2006,0.1810538866930171,scifi,759
2007,0.166349519650655,scifi,1145
2008,0.1471891125343092,scifi,1093
2009,0.1866446631339894,scifi,2642
2010,0.1885500670540903,scifi,2237
2011,0.1827300170068027,scifi,1176
2012,0.1582863764044944,scifi,712
2013,0.1904902390438247,scifi,1004
2014,0.2300084474885844,scifi,876
2015,0.3280828269484808,scifi,757
2016,0.2191159420289855,scifi,1863
2017,0.2682243967828418,scifi,1492
2018,0.2840718638573744,scifi,3085
2019,0.3315008165829145,scifi,3184
2020,0.2695624054462934,scifi,1322
2000,0.3412714285714285,faith,7
2001,0.23876,faith,5
2002,0.3144294117647059,faith,17
2003,0.136126119402985,faith,134
2004,0.2355333333333333,faith,21
2005,0.0083499999999999,faith,34
2006,0.3023913043478261,faith,69
