,rotten_tomatoes_link,movie_title,year_of_release,year_of_streaming_release,tomatometer_status,audience_status,genre_list
0,m/0814255,Percy Jackson & the Olympians: The Lightning Thief,2010,2015,Rotten,Spilled,"['Action & Adventure', 'Comedy', 'Drama', 'Science Fiction & Fantasy']"
1,m/0878835,Please Give,2010,2012,Certified-Fresh,Upright,['Comedy']
2,m/10,10,1979,2014,Fresh,Spilled,"['Comedy', 'Romance']"
3,m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),1957,2017,Certified-Fresh,Upright,"['Classics', 'Drama']"
4,m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea",1954,2016,Fresh,Upright,"['Action & Adventure', 'Drama', 'Kids & Family']"
5,m/10000_bc,"10,000 B.C.",2008,2013,Rotten,Spilled,"['Action & Adventure', 'Classics', 'Drama']"
6,m/1000121-39_steps,The 39 Steps,1935,2017,Certified-Fresh,Upright,"['Action & Adventure', 'Classics', 'Mystery & Suspense']"
7,m/1000123-310_to_yuma,3:10 to Yuma,1957,2012,Fresh,Upright,"['Classics', 'Drama', 'Western']"
8,m/10002008-charly,Charly (A Heartbeat Away),2002,2017,Rotten,Upright,"['Comedy', 'Drama', 'Romance']"
9,m/1000204-abraham_lincoln,Abraham Lincoln,1930,2013,Fresh,Spilled,"['Classics', 'Drama']"
10,m/10002114-dark_water,Dark Water,2002,2017,Fresh,Upright,"['Art House & International', 'Horror', 'Mystery & Suspense']"
11,m/1000224-accused,The Accused,1988,2016,Fresh,Upright,"['Drama', 'Mystery & Suspense']"
12,m/10002516-lost_city,The Lost City,2005,2017,Rotten,Upright,['Drama']
13,m/10002519-breaking_point,The Breaking Point,1950,2016,Fresh,Upright,['Drama']
14,m/1000253-adams_rib,Adam's Rib,1949,2008,Fresh,Upright,"['Classics', 'Comedy', 'Romance']"
15,m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey,2005,2014,Rotten,Spilled,"['Art House & International', 'Drama', 'Faith & Spirituality']"
16,m/10002673-prowler,The Prowler (Cost of Living ),1951,2016,Fresh,Upright,"['Drama', 'Mystery & Suspense']"
17,m/10003276-criminal,Criminal,2004,2016,Fresh,Spilled,"['Drama', 'Mystery & Suspense']"
18,m/1000334-adventures_of_mark_twain,The Adventures of Mark Twain,1985,2017,Fresh,Upright,"['Action & Adventure', 'Animation', 'Kids & Family']"
19,m/10003437-deep_blue,Deep Blue,2005,2016,Fresh,Upright,"['Documentary', 'Special Interest']"
20,m/1000355-adventures_of_robin_hood,The Adventures of Robin Hood,1938,2014,Certified-Fresh,Upright,"['Action & Adventure', 'Classics', 'Romance']"
21,m/10003876-man_hunt,Man Hunt,1941,2014,Fresh,Upright,"['Classics', 'Drama', 'Mystery & Suspense']"
22,m/10003925-dead_end,Dead End,2003,2018,Fresh,Upright,"['Comedy', 'Horror', 'Mystery & Suspense']"
23,m/10004050-bandwagon,Bandwagon,1997,,Fresh,Upright,['Comedy']
24,m/10004069-whore,Whore,2004,2014,Rotten,Upright,"['Art House & International', 'Drama']"
25,m/10004209-tristan_and_isolde,Tristan & Isolde,2006,2015,Rotten,Upright,"['Drama', 'Science Fiction & Fantasy', 'Romance']"
26,m/10004226-wild_side,Wild Side,2005,2005,Fresh,Upright,"['Art House & International', 'Drama']"
27,m/10004232-10004232-tale_of_two_pizzas,A Tale of Two Pizzas,2003,2018,Rotten,,['Comedy']
28,m/10004288-running_scared,Running Scared,2006,2008,Rotten,Upright,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
29,m/10004352-going_the_distance,Going the Distance,2004,2017,Rotten,Upright,['Comedy']
30,m/10004504-ultraviolet,Ultraviolet,2006,2012,Rotten,Spilled,"['Action & Adventure', 'Drama', 'Horror', 'Science Fiction & Fantasy']"
31,m/10004635-home_of_the_brave,Home of the Brave,2004,2016,Fresh,Spilled,"['Action & Adventure', 'Documentary', 'Drama', 'Special Interest']"
32,m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),2007,2016,Rotten,Spilled,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']"
33,m/10004684-malevolence,Malevolence,2004,2017,Rotten,Upright,['Horror']
34,m/10004697-eternal,Eternal,2004,2016,Rotten,Spilled,"['Horror', 'Mystery & Suspense']"
35,m/10004835-farewell_to_arms,A Farewell To Arms,1957,2012,Rotten,Spilled,"['Classics', 'Drama', 'Romance']"
36,m/10004890-narrow_margin,The Narrow Margin,1952,2012,Fresh,Upright,"['Classics', 'Drama', 'Mystery & Suspense']"
37,m/10004925-matador,The Matador,2006,2016,Certified-Fresh,Upright,"['Action & Adventure', 'Comedy', 'Drama', 'Mystery & Suspense']"
38,m/10005057-smile,Smile,2005,2016,Rotten,Upright,"['Art House & International', 'Comedy', 'Drama']"
39,m/10005104-intruder,The Intruder (L'Intrus),2005,2006,Fresh,Upright,"['Art House & International', 'Drama']"
40,m/10005178-saint_ralph,Saint Ralph,2005,2017,Fresh,Upright,"['Comedy', 'Drama']"
41,m/10005403-the_baxter,The Baxter,2005,2018,Rotten,Upright,"['Comedy', 'Romance']"
42,m/10005499-oliver_twist,Oliver Twist,2005,2012,Fresh,Upright,"['Drama', 'Kids & Family']"
43,m/1000560-alamo,The Alamo,1960,2016,Rotten,Upright,"['Action & Adventure', 'Classics', 'Drama', 'Western']"
